| z | u | f |
| 1.6803360672e-02 | 3.9200911417e-07 | 1.9618711811e+02 |
| 1.7003400680e-02 | 3.9200769787e-07 | 1.9852274205e+02 |
| 1.7203440688e-02 | 3.9200626480e-07 | 2.0085836819e+02 |
| 1.7403480696e-02 | 3.9200481498e-07 | 2.0319399654e+02 |
| 1.7603520704e-02 | 3.9200334839e-07 | 2.0552962713e+02 |
| 1.7803560712e-02 | 3.9200186504e-07 | 2.0786525999e+02 |
| 1.8003600720e-02 | 3.9200036493e-07 | 2.1020089513e+02 |
| 1.8203640728e-02 | 3.9199884805e-07 | 2.1253653258e+02 |
| 1.8403680736e-02 | 3.9199731442e-07 | 2.1487217237e+02 |
| 1.8603720744e-02 | 3.9199576402e-07 | 2.1720781451e+02 |
| 1.8803760752e-02 | 3.9199419686e-07 | 2.1954345902e+02 |
| 1.9003800760e-02 | 3.9199261294e-07 | 2.2187910594e+02 |
| 1.9203840768e-02 | 3.9199101226e-07 | 2.2421475527e+02 |
| 1.9403880776e-02 | 3.9198939482e-07 | 2.2655040705e+02 |
| 1.9603920784e-02 | 3.9198776061e-07 | 2.2888606130e+02 |
| 1.9803960792e-02 | 3.9198610965e-07 | 2.3122171804e+02 |
| 2.0004000800e-02 | 3.9198444192e-07 | 2.3355737729e+02 |
| 2.0204040808e-02 | 3.9198275743e-07 | 2.3589303907e+02 |
| 2.0404080816e-02 | 3.9198105618e-07 | 2.3822870340e+02 |
| 2.0604120824e-02 | 3.9197933817e-07 | 2.4056437031e+02 |
| 2.0804160832e-02 | 3.9197760339e-07 | 2.4290003982e+02 |
| 2.1004200840e-02 | 3.9197585185e-07 | 2.4523571195e+02 |
| 2.1204240848e-02 | 3.9197408356e-07 | 2.4757138671e+02 |
| 2.1404280856e-02 | 3.9197229850e-07 | 2.4990706414e+02 |
| 2.1604320864e-02 | 3.9197049667e-07 | 2.5224274425e+02 |
| 2.1804360872e-02 | 3.9196867809e-07 | 2.5457842707e+02 |
| 2.2004400880e-02 | 3.9196684274e-07 | 2.5691411261e+02 |
| 2.2204440888e-02 | 3.9196499064e-07 | 2.5924980090e+02 |
| 2.2404480896e-02 | 3.9196312177e-07 | 2.6158549195e+02 |
| 2.2604520904e-02 | 3.9196123614e-07 | 2.6392118579e+02 |
| 2.2804560912e-02 | 3.9195933374e-07 | 2.6625688244e+02 |
| 2.3004600920e-02 | 3.9195741459e-07 | 2.6859258192e+02 |
| 2.3204640928e-02 | 3.9195547867e-07 | 2.7092828424e+02 |
| 2.3404680936e-02 | 3.9195352599e-07 | 2.7326398943e+02 |
| 2.3604720944e-02 | 3.9195155655e-07 | 2.7559969751e+02 |
| 2.3804760952e-02 | 3.9194957035e-07 | 2.7793540850e+02 |
| 2.4004800960e-02 | 3.9194756738e-07 | 2.8027112242e+02 |
| 2.4204840968e-02 | 3.9194554766e-07 | 2.8260683928e+02 |
| 2.4404880976e-02 | 3.9194351117e-07 | 2.8494255911e+02 |
| 2.4604920984e-02 | 3.9194145792e-07 | 2.8727828193e+02 |
| 2.4804960992e-02 | 3.9193938790e-07 | 2.8961400775e+02 |
| 2.5005001000e-02 | 3.9193730113e-07 | 2.9194973660e+02 |
| 2.5205041008e-02 | 3.9193519759e-07 | 2.9428546849e+02 |
| 2.5405081016e-02 | 3.9193307729e-07 | 2.9662120344e+02 |
| 2.5605121024e-02 | 3.9193094023e-07 | 2.9895694147e+02 |
| 2.5805161032e-02 | 3.9192878640e-07 | 3.0129268261e+02 |
| 2.6005201040e-02 | 3.9192661582e-07 | 3.0362842686e+02 |
| 2.6205241048e-02 | 3.9192442847e-07 | 3.0596417425e+02 |
| 2.6405281056e-02 | 3.9192222436e-07 | 3.0829992479e+02 |
| 2.6605321064e-02 | 3.9192000349e-07 | 3.1063567850e+02 |
| 2.6805361072e-02 | 3.9191776585e-07 | 3.1297143541e+02 |
| 2.7005401080e-02 | 3.9191551145e-07 | 3.1530719553e+02 |
| 2.7205441088e-02 | 3.9191324029e-07 | 3.1764295887e+02 |
| 2.7405481096e-02 | 3.9191095237e-07 | 3.1997872545e+02 |
| 2.7605521104e-02 | 3.9190864769e-07 | 3.2231449530e+02 |
| 2.7805561112e-02 | 3.9190632624e-07 | 3.2465026842e+02 |
| 2.8005601120e-02 | 3.9190398803e-07 | 3.2698604484e+02 |
| 2.8205641128e-02 | 3.9190163306e-07 | 3.2932182457e+02 |
| 2.8405681136e-02 | 3.9189926132e-07 | 3.3165760763e+02 |
| 2.8605721144e-02 | 3.9189687283e-07 | 3.3399339403e+02 |
| 2.8805761152e-02 | 3.9189446757e-07 | 3.3632918380e+02 |
| 2.9005801160e-02 | 3.9189204555e-07 | 3.3866497695e+02 |
| 2.9205841168e-02 | 3.9188960676e-07 | 3.4100077349e+02 |
| 2.9405881176e-02 | 3.9188715121e-07 | 3.4333657344e+02 |
| 2.9605921184e-02 | 3.9188467890e-07 | 3.4567237681e+02 |
| 2.9805961192e-02 | 3.9188218983e-07 | 3.4800818363e+02 |
| 3.0006001200e-02 | 3.9187968400e-07 | 3.5034399391e+02 |
| 3.0206041208e-02 | 3.9187716140e-07 | 3.5267980766e+02 |
| 3.0406081216e-02 | 3.9187462204e-07 | 3.5501562490e+02 |
| 3.0606121224e-02 | 3.9187206592e-07 | 3.5735144564e+02 |
| 3.0806161232e-02 | 3.9186949303e-07 | 3.5968726990e+02 |
| 3.1006201240e-02 | 3.9186690338e-07 | 3.6202309769e+02 |
| 3.1206241248e-02 | 3.9186429697e-07 | 3.6435892903e+02 |
| 3.1406281256e-02 | 3.9186167380e-07 | 3.6669476394e+02 |
| 3.1606321264e-02 | 3.9185903386e-07 | 3.6903060242e+02 |
| 3.1806361272e-02 | 3.9185637716e-07 | 3.7136644449e+02 |
| 3.2006401280e-02 | 3.9185370370e-07 | 3.7370229016e+02 |
| 3.2206441288e-02 | 3.9185101348e-07 | 3.7603813946e+02 |
| 3.2406481296e-02 | 3.9184830649e-07 | 3.7837399238e+02 |
| 3.2606521304e-02 | 3.9184558274e-07 | 3.8070984895e+02 |
| 3.2806561312e-02 | 3.9184284222e-07 | 3.8304570918e+02 |
| 3.3006601320e-02 | 3.9184008495e-07 | 3.8538157309e+02 |
| 3.3206641328e-02 | 3.9183731091e-07 | 3.8771744067e+02 |
| 3.3406681336e-02 | 3.9183452011e-07 | 3.9005331196e+02 |
| 3.3606721344e-02 | 3.9183171254e-07 | 3.9238918695e+02 |
| 3.3806761352e-02 | 3.9182888821e-07 | 3.9472506567e+02 |
| 3.4006801360e-02 | 3.9182604712e-07 | 3.9706094812e+02 |
| 3.4206841368e-02 | 3.9182318927e-07 | 3.9939683432e+02 |
| 3.4406881376e-02 | 3.9182031465e-07 | 4.0173272428e+02 |
| 3.4606921384e-02 | 3.9181742327e-07 | 4.0406861801e+02 |
| 3.4806961392e-02 | 3.9181451512e-07 | 4.0640451552e+02 |
| 3.5007001400e-02 | 3.9181159022e-07 | 4.0874041683e+02 |
| 3.5207041408e-02 | 3.9180864855e-07 | 4.1107632194e+02 |
| 3.5407081416e-02 | 3.9180569011e-07 | 4.1341223087e+02 |
| 3.5607121424e-02 | 3.9180271492e-07 | 4.1574814362e+02 |
| 3.5807161432e-02 | 3.9179972296e-07 | 4.1808406021e+02 |
| 3.6007201440e-02 | 3.9179671423e-07 | 4.2041998065e+02 |
| 3.6207241448e-02 | 3.9179368875e-07 | 4.2275590495e+02 |
| 3.6407281456e-02 | 3.9179064650e-07 | 4.2509183311e+02 |
| 3.6607321464e-02 | 3.9178758748e-07 | 4.2742776515e+02 |
| 3.6807361472e-02 | 3.9178451171e-07 | 4.2976370108e+02 |
| 3.7007401480e-02 | 3.9178141917e-07 | 4.3209964091e+02 |
| 3.7207441488e-02 | 3.9177830987e-07 | 4.3443558465e+02 |
| 3.7407481496e-02 | 3.9177518380e-07 | 4.3677153230e+02 |
| 3.7607521504e-02 | 3.9177204097e-07 | 4.3910748387e+02 |
| 3.7807561512e-02 | 3.9176888138e-07 | 4.4144343938e+02 |
| 3.8007601520e-02 | 3.9176570502e-07 | 4.4377939883e+02 |
| 3.8207641528e-02 | 3.9176251190e-07 | 4.4611536223e+02 |
| 3.8407681536e-02 | 3.9175930202e-07 | 4.4845132959e+02 |
| 3.8607721544e-02 | 3.9175607537e-07 | 4.5078730091e+02 |
| 3.8807761552e-02 | 3.9175283196e-07 | 4.5312327621e+02 |
| 3.9007801560e-02 | 3.9174957179e-07 | 4.5545925549e+02 |
| 3.9207841568e-02 | 3.9174629485e-07 | 4.5779523876e+02 |
| 3.9407881576e-02 | 3.9174300115e-07 | 4.6013122603e+02 |
| 3.9607921584e-02 | 3.9173969068e-07 | 4.6246721729e+02 |
| 3.9807961592e-02 | 3.9173636345e-07 | 4.6480321257e+02 |
| 4.0008001600e-02 | 3.9173301946e-07 | 4.6713921187e+02 |
| 4.0208041608e-02 | 3.9172965871e-07 | 4.6947521518e+02 |
| 4.0408081616e-02 | 3.9172628119e-07 | 4.7181122253e+02 |
| 4.0608121624e-02 | 3.9172288691e-07 | 4.7414723391e+02 |
| 4.0808161632e-02 | 3.9171947586e-07 | 4.7648324933e+02 |
| 4.1008201640e-02 | 3.9171604805e-07 | 4.7881926880e+02 |
| 4.1208241648e-02 | 3.9171260347e-07 | 4.8115529232e+02 |
| 4.1408281656e-02 | 3.9170914214e-07 | 4.8349131989e+02 |
| 4.1608321664e-02 | 3.9170566403e-07 | 4.8582735152e+02 |
| 4.1808361672e-02 | 3.9170216917e-07 | 4.8816338722e+02 |
| 4.2008401680e-02 | 3.9169865754e-07 | 4.9049942699e+02 |
| 4.2208441688e-02 | 3.9169512915e-07 | 4.9283547084e+02 |
| 4.2408481696e-02 | 3.9169158399e-07 | 4.9517151876e+02 |
| 4.2608521704e-02 | 3.9168802207e-07 | 4.9750757076e+02 |
| 4.2808561712e-02 | 3.9168444339e-07 | 4.9984362685e+02 |
| 4.3008601720e-02 | 3.9168084794e-07 | 5.0217968703e+02 |
| 4.3208641728e-02 | 3.9167723572e-07 | 5.0451575130e+02 |
| 4.3408681736e-02 | 3.9167360675e-07 | 5.0685181966e+02 |
| 4.3608721744e-02 | 3.9166996101e-07 | 5.0918789213e+02 |
| 4.3808761752e-02 | 3.9166629850e-07 | 5.1152396869e+02 |
| 4.4008801760e-02 | 3.9166261924e-07 | 5.1386004935e+02 |
| 4.4208841768e-02 | 3.9165892320e-07 | 5.1619613411e+02 |
| 4.4408881776e-02 | 3.9165521041e-07 | 5.1853222299e+02 |
| 4.4608921784e-02 | 3.9165148085e-07 | 5.2086831597e+02 |
| 4.4808961792e-02 | 3.9164773452e-07 | 5.2320441305e+02 |
| 4.5009001800e-02 | 3.9164397143e-07 | 5.2554051425e+02 |
| 4.5209041808e-02 | 3.9164019158e-07 | 5.2787661955e+02 |
| 4.5409081816e-02 | 3.9163639497e-07 | 5.3021272897e+02 |
| 4.5609121824e-02 | 3.9163258158e-07 | 5.3254884250e+02 |
| 4.5809161832e-02 | 3.9162875144e-07 | 5.3488496014e+02 |
| 4.6009201840e-02 | 3.9162490453e-07 | 5.3722108188e+02 |
| 4.6209241848e-02 | 3.9162104086e-07 | 5.3955720774e+02 |
| 4.6409281856e-02 | 3.9161716042e-07 | 5.4189333771e+02 |
| 4.6609321864e-02 | 3.9161326322e-07 | 5.4422947179e+02 |
| 4.6809361872e-02 | 3.9160934925e-07 | 5.4656560998e+02 |
| 4.7009401880e-02 | 3.9160541852e-07 | 5.4890175227e+02 |
| 4.7209441888e-02 | 3.9160147103e-07 | 5.5123789866e+02 |
| 4.7409481896e-02 | 3.9159750677e-07 | 5.5357404916e+02 |
| 4.7609521904e-02 | 3.9159352575e-07 | 5.5591020376e+02 |
| 4.7809561912e-02 | 3.9158952796e-07 | 5.5824636246e+02 |
| 4.8009601920e-02 | 3.9158551341e-07 | 5.6058252526e+02 |
| 4.8209641928e-02 | 3.9158148210e-07 | 5.6291869215e+02 |
| 4.8409681936e-02 | 3.9157743402e-07 | 5.6525486312e+02 |
| 4.8609721944e-02 | 3.9157336918e-07 | 5.6759103819e+02 |
| 4.8809761952e-02 | 3.9156928757e-07 | 5.6992721733e+02 |
| 4.9009801960e-02 | 3.9156518920e-07 | 5.7226340056e+02 |
| 4.9209841968e-02 | 3.9156107406e-07 | 5.7459958786e+02 |
| 4.9409881976e-02 | 3.9155694216e-07 | 5.7693577923e+02 |
| 4.9609921984e-02 | 3.9155279349e-07 | 5.7927197467e+02 |
| 4.9809961992e-02 | 3.9154862806e-07 | 5.8160817417e+02 |
| 5.0010002000e-02 | 3.9154444587e-07 | 5.8394437773e+02 |
| 5.0210042008e-02 | 3.9154024691e-07 | 5.8628058533e+02 |
| 5.0410082016e-02 | 3.9153603119e-07 | 5.8861679698e+02 |
