| z | u | f |
| 0.000000e+00 | 3.920682e-07 | 0.000000e+00 |
| 5.025126e-03 | 3.920630e-07 | 5.866998e+01 |
| 1.005025e-02 | 3.920471e-07 | 1.173404e+02 |
| 1.507538e-02 | 3.920207e-07 | 1.760116e+02 |
| 2.010050e-02 | 3.919836e-07 | 2.346841e+02 |
| 2.512563e-02 | 3.919360e-07 | 2.933582e+02 |
| 3.015075e-02 | 3.918779e-07 | 3.520342e+02 |
| 3.517588e-02 | 3.918091e-07 | 4.107124e+02 |
| 4.020101e-02 | 3.917298e-07 | 4.693930e+02 |
| 4.522613e-02 | 3.916399e-07 | 5.280762e+02 |
| 5.025126e-02 | 3.915394e-07 | 5.867619e+02 |
| 5.527638e-02 | 3.914283e-07 | 6.454502e+02 |
| 6.030151e-02 | 3.913067e-07 | 7.041409e+02 |
| 6.532663e-02 | 3.911744e-07 | 7.628337e+02 |
| 7.035176e-02 | 3.910316e-07 | 8.215282e+02 |
| 7.537688e-02 | 3.908783e-07 | 8.802240e+02 |
| 8.040201e-02 | 3.907143e-07 | 9.389203e+02 |
| 8.542714e-02 | 3.905398e-07 | 9.976164e+02 |
| 9.045226e-02 | 3.903546e-07 | 1.056311e+03 |
| 9.547739e-02 | 3.901590e-07 | 1.115004e+03 |
| 1.005025e-01 | 3.899527e-07 | 1.173692e+03 |
| 1.055276e-01 | 3.897359e-07 | 1.232375e+03 |
| 1.105528e-01 | 3.895085e-07 | 1.291051e+03 |
| 1.155779e-01 | 3.892706e-07 | 1.349718e+03 |
| 1.206030e-01 | 3.890221e-07 | 1.408374e+03 |
| 1.256281e-01 | 3.887630e-07 | 1.467016e+03 |
| 1.306533e-01 | 3.884935e-07 | 1.525642e+03 |
| 1.356784e-01 | 3.882133e-07 | 1.584248e+03 |
| 1.407035e-01 | 3.879227e-07 | 1.642831e+03 |
| 1.457286e-01 | 3.876216e-07 | 1.701389e+03 |
| 1.507538e-01 | 3.873099e-07 | 1.759916e+03 |
| 1.557789e-01 | 3.869878e-07 | 1.818409e+03 |
| 1.608040e-01 | 3.866552e-07 | 1.876864e+03 |
| 1.658291e-01 | 3.863122e-07 | 1.935276e+03 |
| 1.708543e-01 | 3.859587e-07 | 1.993639e+03 |
| 1.758794e-01 | 3.855949e-07 | 2.051949e+03 |
| 1.809045e-01 | 3.852206e-07 | 2.110200e+03 |
| 1.859296e-01 | 3.848360e-07 | 2.168385e+03 |
| 1.909548e-01 | 3.844411e-07 | 2.226498e+03 |
| 1.959799e-01 | 3.840358e-07 | 2.284533e+03 |
| 2.010050e-01 | 3.836203e-07 | 2.342482e+03 |
| 2.060302e-01 | 3.831945e-07 | 2.400337e+03 |
| 2.110553e-01 | 3.827586e-07 | 2.458091e+03 |
| 2.160804e-01 | 3.823125e-07 | 2.515735e+03 |
| 2.211055e-01 | 3.818563e-07 | 2.573260e+03 |
| 2.261307e-01 | 3.813900e-07 | 2.630658e+03 |
| 2.311558e-01 | 3.809138e-07 | 2.687918e+03 |
| 2.361809e-01 | 3.804275e-07 | 2.745030e+03 |
| 2.412060e-01 | 3.799314e-07 | 2.801984e+03 |
| 2.462312e-01 | 3.794255e-07 | 2.858770e+03 |
| 2.512563e-01 | 3.789098e-07 | 2.915375e+03 |
| 2.562814e-01 | 3.783844e-07 | 2.971788e+03 |
| 2.613065e-01 | 3.778494e-07 | 3.027996e+03 |
| 2.663317e-01 | 3.773048e-07 | 3.083987e+03 |
| 2.713568e-01 | 3.767508e-07 | 3.139748e+03 |
| 2.763819e-01 | 3.761875e-07 | 3.195265e+03 |
| 2.814070e-01 | 3.756149e-07 | 3.250524e+03 |
| 2.864322e-01 | 3.750331e-07 | 3.305510e+03 |
| 2.914573e-01 | 3.744422e-07 | 3.360209e+03 |
| 2.964824e-01 | 3.738424e-07 | 3.414604e+03 |
| 3.015075e-01 | 3.732338e-07 | 3.468680e+03 |
| 3.065327e-01 | 3.726165e-07 | 3.522421e+03 |
| 3.115578e-01 | 3.719906e-07 | 3.575810e+03 |
| 3.165829e-01 | 3.713562e-07 | 3.628829e+03 |
| 3.216080e-01 | 3.707135e-07 | 3.681461e+03 |
| 3.266332e-01 | 3.700627e-07 | 3.733688e+03 |
| 3.316583e-01 | 3.694038e-07 | 3.785491e+03 |
| 3.366834e-01 | 3.687371e-07 | 3.836851e+03 |
| 3.417085e-01 | 3.680627e-07 | 3.887749e+03 |
| 3.467337e-01 | 3.673808e-07 | 3.938166e+03 |
| 3.517588e-01 | 3.666916e-07 | 3.988080e+03 |
| 3.567839e-01 | 3.659952e-07 | 4.037472e+03 |
| 3.618090e-01 | 3.652918e-07 | 4.086321e+03 |
| 3.668342e-01 | 3.645817e-07 | 4.134606e+03 |
| 3.718593e-01 | 3.638650e-07 | 4.182305e+03 |
| 3.768844e-01 | 3.631420e-07 | 4.229396e+03 |
| 3.819095e-01 | 3.624128e-07 | 4.275858e+03 |
| 3.869347e-01 | 3.616778e-07 | 4.321669e+03 |
| 3.919598e-01 | 3.609370e-07 | 4.366805e+03 |
| 3.969849e-01 | 3.601909e-07 | 4.411244e+03 |
| 4.020101e-01 | 3.594396e-07 | 4.454964e+03 |
| 4.070352e-01 | 3.586833e-07 | 4.497941e+03 |
| 4.120603e-01 | 3.579224e-07 | 4.540152e+03 |
| 4.170854e-01 | 3.571571e-07 | 4.581575e+03 |
| 4.221106e-01 | 3.563877e-07 | 4.622185e+03 |
| 4.271357e-01 | 3.556145e-07 | 4.661961e+03 |
| 4.321608e-01 | 3.548377e-07 | 4.700877e+03 |
| 4.371859e-01 | 3.540577e-07 | 4.738912e+03 |
| 4.422111e-01 | 3.532747e-07 | 4.776042e+03 |
| 4.472362e-01 | 3.524890e-07 | 4.812245e+03 |
| 4.522613e-01 | 3.517010e-07 | 4.847498e+03 |
| 4.572864e-01 | 3.509110e-07 | 4.881777e+03 |
| 4.623116e-01 | 3.501194e-07 | 4.915062e+03 |
| 4.673367e-01 | 3.493263e-07 | 4.947330e+03 |
| 4.723618e-01 | 3.485322e-07 | 4.978559e+03 |
| 4.773869e-01 | 3.477375e-07 | 5.008729e+03 |
| 4.824121e-01 | 3.469423e-07 | 5.037818e+03 |
| 4.874372e-01 | 3.461472e-07 | 5.065807e+03 |
| 4.924623e-01 | 3.453524e-07 | 5.092677e+03 |
| 4.974874e-01 | 3.445584e-07 | 5.118407e+03 |
| 5.025126e-01 | 3.437653e-07 | 5.142981e+03 |
| 5.075377e-01 | 3.429737e-07 | 5.166380e+03 |
| 5.125628e-01 | 3.421839e-07 | 5.188587e+03 |
| 5.175879e-01 | 3.413962e-07 | 5.209587e+03 |
| 5.226131e-01 | 3.406111e-07 | 5.229365e+03 |
| 5.276382e-01 | 3.398287e-07 | 5.247906e+03 |
| 5.326633e-01 | 3.390497e-07 | 5.265198e+03 |
| 5.376884e-01 | 3.382742e-07 | 5.281229e+03 |
| 5.427136e-01 | 3.375027e-07 | 5.295987e+03 |
| 5.477387e-01 | 3.367355e-07 | 5.309463e+03 |
| 5.527638e-01 | 3.359730e-07 | 5.321649e+03 |
| 5.577889e-01 | 3.352155e-07 | 5.332537e+03 |
| 5.628141e-01 | 3.344634e-07 | 5.342122e+03 |
| 5.678392e-01 | 3.337171e-07 | 5.350398e+03 |
| 5.728643e-01 | 3.329769e-07 | 5.357364e+03 |
| 5.778894e-01 | 3.322432e-07 | 5.363017e+03 |
| 5.829146e-01 | 3.315162e-07 | 5.367358e+03 |
| 5.879397e-01 | 3.307963e-07 | 5.370388e+03 |
| 5.929648e-01 | 3.300839e-07 | 5.372109e+03 |
| 5.979899e-01 | 3.293793e-07 | 5.372528e+03 |
