| z | u | f |
| 0.0000000000e+00 | 3.9206824659e-07 | 0.0000000000e+00 |
| 1.0010010010e-03 | 3.9206803674e-07 | 1.1686999713e+01 |
| 2.0020020020e-03 | 3.9206740721e-07 | 2.3374002816e+01 |
| 3.0030030030e-03 | 3.9206635798e-07 | 3.5061012696e+01 |
| 4.0040040040e-03 | 3.9206488906e-07 | 4.6748032734e+01 |
| 5.0050050050e-03 | 3.9206300045e-07 | 5.8435066300e+01 |
| 6.0060060060e-03 | 3.9206069215e-07 | 7.0122116752e+01 |
| 7.0070070070e-03 | 3.9205796415e-07 | 8.1809187432e+01 |
| 8.0080080080e-03 | 3.9205481646e-07 | 9.3496281660e+01 |
| 9.0090090090e-03 | 3.9205124908e-07 | 1.0518340274e+02 |
| 1.0010010010e-02 | 3.9204726200e-07 | 1.1687055393e+02 |
| 1.1011011011e-02 | 3.9204285522e-07 | 1.2855773849e+02 |
| 1.2012012012e-02 | 3.9203802875e-07 | 1.4024495962e+02 |
| 1.3013013013e-02 | 3.9203278258e-07 | 1.5193222050e+02 |
| 1.4014014014e-02 | 3.9202711670e-07 | 1.6361952426e+02 |
| 1.5015015015e-02 | 3.9202103112e-07 | 1.7530687400e+02 |
| 1.6016016016e-02 | 3.9201452584e-07 | 1.8699427276e+02 |
| 1.7017017017e-02 | 3.9200760086e-07 | 1.9868172354e+02 |
| 1.8018018018e-02 | 3.9200025616e-07 | 2.1036922929e+02 |
| 1.9019019019e-02 | 3.9199249176e-07 | 2.2205679289e+02 |
| 2.0020020020e-02 | 3.9198430764e-07 | 2.3374441717e+02 |
| 2.1021021021e-02 | 3.9197570381e-07 | 2.4543210492e+02 |
| 2.2022022022e-02 | 3.9196668027e-07 | 2.5711985882e+02 |
| 2.3023023023e-02 | 3.9195723701e-07 | 2.6880768151e+02 |
| 2.4024024024e-02 | 3.9194737402e-07 | 2.8049557556e+02 |
| 2.5025025025e-02 | 3.9193709132e-07 | 2.9218354345e+02 |
| 2.6026026026e-02 | 3.9192638889e-07 | 3.0387158760e+02 |
| 2.7027027027e-02 | 3.9191526673e-07 | 3.1555971033e+02 |
| 2.8028028028e-02 | 3.9190372484e-07 | 3.2724791387e+02 |
| 2.9029029029e-02 | 3.9189176322e-07 | 3.3893620039e+02 |
| 3.0030030030e-02 | 3.9187938187e-07 | 3.5062457195e+02 |
| 3.1031031031e-02 | 3.9186658078e-07 | 3.6231303052e+02 |
| 3.2032032032e-02 | 3.9185335994e-07 | 3.7400157796e+02 |
| 3.3033033033e-02 | 3.9183971937e-07 | 3.8569021604e+02 |
| 3.4034034034e-02 | 3.9182565905e-07 | 3.9737894642e+02 |
| 3.5035035035e-02 | 3.9181117898e-07 | 4.0906777067e+02 |
| 3.6036036036e-02 | 3.9179627916e-07 | 4.2075669022e+02 |
| 3.7037037037e-02 | 3.9178095959e-07 | 4.3244570640e+02 |
| 3.8038038038e-02 | 3.9176522026e-07 | 4.4413482043e+02 |
| 3.9039039039e-02 | 3.9174906118e-07 | 4.5582403340e+02 |
| 4.0040040040e-02 | 3.9173248233e-07 | 4.6751334626e+02 |
| 4.1041041041e-02 | 3.9171548372e-07 | 4.7920275987e+02 |
| 4.2042042042e-02 | 3.9169806535e-07 | 4.9089227492e+02 |
| 4.3043043043e-02 | 3.9168022721e-07 | 5.0258189200e+02 |
