| z | u | f |
| 0.0000000000e+00 | 3.9206824659e-07 | 0.0000000000e+00 |
| 2.5641025641e-02 | 3.9193055413e-07 | 2.9937613914e+02 |
| 5.1282051282e-02 | 3.9151745820e-07 | 5.9880025567e+02 |
| 7.6923076923e-02 | 3.9082893016e-07 | 8.9828424608e+02 |
| 1.0256410256e-01 | 3.8986503573e-07 | 1.1977678363e+03 |
| 1.2820512821e-01 | 3.8862610306e-07 | 1.4970825437e+03 |
| 1.5384615385e-01 | 3.8711295828e-07 | 1.7959159023e+03 |
| 1.7948717949e-01 | 3.8532722658e-07 | 2.0937763829e+03 |
| 2.0512820513e-01 | 3.8327169576e-07 | 2.3899597284e+03 |
| 2.3076923077e-01 | 3.8095073669e-07 | 2.6835177839e+03 |
| 2.5641025641e-01 | 3.7837077162e-07 | 2.9732313103e+03 |
| 2.8205128205e-01 | 3.7554077645e-07 | 3.2575887237e+03 |
| 3.0769230769e-01 | 3.7247279733e-07 | 3.5347731609e+03 |
| 3.3333333333e-01 | 3.6918245550e-07 | 3.8026607099e+03 |
| 3.5897435897e-01 | 3.6568940663e-07 | 4.0588329901e+03 |
| 3.8461538462e-01 | 3.6201771414e-07 | 4.3006074737e+03 |
| 4.1025641026e-01 | 3.5819608971e-07 | 4.5250888904e+03 |
| 4.3589743590e-01 | 3.5425795016e-07 | 4.7292446764e+03 |
| 4.6153846154e-01 | 3.5024123983e-07 | 4.9100065799e+03 |
| 4.8717948718e-01 | 3.4618797253e-07 | 5.0643991131e+03 |
| 5.1282051282e-01 | 3.4214345892e-07 | 5.1896934399e+03 |
| 5.3846153846e-01 | 3.3815520517e-07 | 5.2835824429e+03 |
| 5.6410256410e-01 | 3.3427149648e-07 | 5.3443691287e+03 |
| 5.8974358974e-01 | 3.3053971438e-07 | 5.3711563287e+03 |
| 6.1538461538e-01 | 3.2700446188e-07 | 5.3640219756e+03 |
| 6.4102564103e-01 | 3.2370565447e-07 | 5.3241567264e+03 |
| 6.6666666667e-01 | 3.2067675722e-07 | 5.2539395245e+03 |
| 6.9230769231e-01 | 3.1794324410e-07 | 5.1569311450e+03 |
| 7.1794871795e-01 | 3.1552152573e-07 | 5.0377572178e+03 |
| 7.4358974359e-01 | 3.1341844360e-07 | 4.9018671854e+03 |
| 7.6923076923e-01 | 3.1163144053e-07 | 4.7551678116e+03 |
| 7.9487179487e-01 | 3.1014929467e-07 | 4.6035558806e+03 |
| 8.2051282051e-01 | 3.0895336725e-07 | 4.4524005291e+03 |
| 8.4615384615e-01 | 3.0801894964e-07 | 4.3060577462e+03 |
| 8.7179487179e-01 | 3.0731684687e-07 | 4.1675231504e+03 |
| 8.9743589744e-01 | 3.0681470154e-07 | 4.0383231441e+03 |
| 9.2307692308e-01 | 3.0647813285e-07 | 3.9186915200e+03 |
| 9.4871794872e-01 | 3.0627196932e-07 | 3.8079777773e+03 |
| 9.7435897436e-01 | 3.0616140083e-07 | 3.7051084757e+03 |
| 1.0000000000e+00 | 3.0611355007e-07 | 3.6089242219e+03 |
