| z | u | f |
| 0.0000000000e+00 | 3.9206824659e-07 | 0.0000000000e+00 |
| 3.3444816054e-03 | 3.9206590404e-07 | 3.9047887784e+01 |
| 6.6889632107e-03 | 3.9205887640e-07 | 7.8095901708e+01 |
| 1.0033444816e-02 | 3.9204716363e-07 | 1.1714416655e+02 |
| 1.3377926421e-02 | 3.9203076570e-07 | 1.5619280436e+02 |
| 1.6722408027e-02 | 3.9200968256e-07 | 1.9524193311e+02 |
| 2.0066889632e-02 | 3.9198391415e-07 | 2.3429166532e+02 |
| 2.3411371237e-02 | 3.9195346040e-07 | 2.7334210670e+02 |
| 2.6755852843e-02 | 3.9191832121e-07 | 3.1239335480e+02 |
| 3.0100334448e-02 | 3.9187849650e-07 | 3.5144549761e+02 |
| 3.3444816054e-02 | 3.9183398618e-07 | 3.9049861224e+02 |
| 3.6789297659e-02 | 3.9178479014e-07 | 4.2955276355e+02 |
| 4.0133779264e-02 | 3.9173090830e-07 | 4.6860800276e+02 |
| 4.3478260870e-02 | 3.9167234057e-07 | 5.0766436612e+02 |
| 4.6822742475e-02 | 3.9160908685e-07 | 5.4672187353e+02 |
| 5.0167224080e-02 | 3.9154114709e-07 | 5.8578052716e+02 |
| 5.3511705686e-02 | 3.9146852124e-07 | 6.2484031013e+02 |
| 5.6856187291e-02 | 3.9139120926e-07 | 6.6390118511e+02 |
| 6.0200668896e-02 | 3.9130921116e-07 | 7.0296309298e+02 |
| 6.3545150502e-02 | 3.9122252697e-07 | 7.4202595145e+02 |
| 6.6889632107e-02 | 3.9113115675e-07 | 7.8108965371e+02 |
| 7.0234113712e-02 | 3.9103510063e-07 | 8.2015406705e+02 |
| 7.3578595318e-02 | 3.9093435876e-07 | 8.5921903153e+02 |
| 7.6923076923e-02 | 3.9082893138e-07 | 8.9828435858e+02 |
| 8.0267558528e-02 | 3.9071881878e-07 | 9.3734982967e+02 |
| 8.3612040134e-02 | 3.9060402132e-07 | 9.7641519494e+02 |
| 8.6956521739e-02 | 3.9048453944e-07 | 1.0154801718e+03 |
| 9.0301003344e-02 | 3.9036037367e-07 | 1.0545444437e+03 |
| 9.3645484950e-02 | 3.9023152465e-07 | 1.0936076586e+03 |
| 9.6989966555e-02 | 3.9009799311e-07 | 1.1326694277e+03 |
| 1.0033444816e-01 | 3.8995977990e-07 | 1.1717293242e+03 |
| 1.0367892977e-01 | 3.8981688600e-07 | 1.2107868817e+03 |
| 1.0702341137e-01 | 3.8966931252e-07 | 1.2498415931e+03 |
| 1.1036789298e-01 | 3.8951706070e-07 | 1.2888929090e+03 |
| 1.1371237458e-01 | 3.8936013196e-07 | 1.3279402367e+03 |
| 1.1705685619e-01 | 3.8919852787e-07 | 1.3669829385e+03 |
| 1.2040133779e-01 | 3.8903225019e-07 | 1.4060203306e+03 |
| 1.2374581940e-01 | 3.8886130086e-07 | 1.4450516818e+03 |
| 1.2709030100e-01 | 3.8868568200e-07 | 1.4840762118e+03 |
| 1.3043478261e-01 | 3.8850539598e-07 | 1.5230930905e+03 |
| 1.3377926421e-01 | 3.8832044536e-07 | 1.5621014360e+03 |
| 1.3712374582e-01 | 3.8813083297e-07 | 1.6011003140e+03 |
| 1.4046822742e-01 | 3.8793656185e-07 | 1.6400887357e+03 |
| 1.4381270903e-01 | 3.8773763534e-07 | 1.6790656574e+03 |
| 1.4715719064e-01 | 3.8753405704e-07 | 1.7180299785e+03 |
| 1.5050167224e-01 | 3.8732583083e-07 | 1.7569805405e+03 |
| 1.5384615385e-01 | 3.8711296091e-07 | 1.7959161256e+03 |
| 1.5719063545e-01 | 3.8689545180e-07 | 1.8348354559e+03 |
| 1.6053511706e-01 | 3.8667330835e-07 | 1.8737371914e+03 |
| 1.6387959866e-01 | 3.8644653575e-07 | 1.9126199295e+03 |
| 1.6722408027e-01 | 3.8621513957e-07 | 1.9514822033e+03 |
| 1.7056856187e-01 | 3.8597912575e-07 | 1.9903224806e+03 |
| 1.7391304348e-01 | 3.8573850061e-07 | 2.0291391626e+03 |
| 1.7725752508e-01 | 3.8549327092e-07 | 2.0679305828e+03 |
| 1.8060200669e-01 | 3.8524344385e-07 | 2.1066950059e+03 |
| 1.8394648829e-01 | 3.8498902702e-07 | 2.1454306265e+03 |
| 1.8729096990e-01 | 3.8473002851e-07 | 2.1841355679e+03 |
| 1.9063545151e-01 | 3.8446645688e-07 | 2.2228078814e+03 |
| 1.9397993311e-01 | 3.8419832120e-07 | 2.2614455449e+03 |
| 1.9732441472e-01 | 3.8392563103e-07 | 2.3000464617e+03 |
| 2.0066889632e-01 | 3.8364839648e-07 | 2.3386084598e+03 |
| 2.0401337793e-01 | 3.8336662819e-07 | 2.3771292907e+03 |
| 2.0735785953e-01 | 3.8308033740e-07 | 2.4156066285e+03 |
| 2.1070234114e-01 | 3.8278953589e-07 | 2.4540380687e+03 |
| 2.1404682274e-01 | 3.8249423609e-07 | 2.4924211277e+03 |
| 2.1739130435e-01 | 3.8219445102e-07 | 2.5307532413e+03 |
| 2.2073578595e-01 | 3.8189019437e-07 | 2.5690317645e+03 |
| 2.2408026756e-01 | 3.8158148047e-07 | 2.6072539700e+03 |
| 2.2742474916e-01 | 3.8126832432e-07 | 2.6454170480e+03 |
| 2.3076923077e-01 | 3.8095074166e-07 | 2.6835181047e+03 |
| 2.3411371237e-01 | 3.8062874892e-07 | 2.7215541625e+03 |
| 2.3745819398e-01 | 3.8030236327e-07 | 2.7595221585e+03 |
| 2.4080267559e-01 | 3.7997160263e-07 | 2.7974189440e+03 |
| 2.4414715719e-01 | 3.7963648573e-07 | 2.8352412844e+03 |
| 2.4749163880e-01 | 3.7929703207e-07 | 2.8729858579e+03 |
| 2.5083612040e-01 | 3.7895326196e-07 | 2.9106492554e+03 |
| 2.5418060201e-01 | 3.7860519658e-07 | 2.9482279802e+03 |
| 2.5752508361e-01 | 3.7825285793e-07 | 2.9857184469e+03 |
| 2.6086956522e-01 | 3.7789626891e-07 | 3.0231169817e+03 |
| 2.6421404682e-01 | 3.7753545331e-07 | 3.0604198218e+03 |
