Число узлов n = 8001
--------------------------------------------------------------------------------------
|    x    |          u(z)          |          f(z)          |     f(z) integral      |
--------------------------------------------------------------------------------------
| 0.00000 |    3.9205319797e-07    |    0.0000000000e+00    |    0.0000000000e+00    |
| 0.00013 |    3.9205319411e-07    |   -5.9027969590e-09    |    1.4593924133e+00    |
| 0.00025 |    3.9205319797e-07    |    3.9856035693e-01    |    2.9187848240e+00    |
| 0.00038 |    3.9205319053e-07    |    2.4944519995e+00    |    4.3781772388e+00    |
| 0.00050 |    3.9205317560e-07    |    4.1053918614e+00    |    5.8375696666e+00    |
| 0.00063 |    3.9205315371e-07    |    5.6355064422e+00    |    7.2969621143e+00    |
| 0.00075 |    3.9205312506e-07    |    7.1362300407e+00    |    8.7563545887e+00    |
| 0.00088 |    3.9205308971e-07    |    8.6228233763e+00    |    1.0215747096e+01    |
| 0.00100 |    3.9205304772e-07    |    1.0101503782e+01    |    1.1675139644e+01    |
| 0.00113 |    3.9205299912e-07    |    1.1575296802e+01    |    1.3134532239e+01    |
| 0.00125 |    3.9205294391e-07    |    1.3045856093e+01    |    1.4593924886e+01    |
| 0.00137 |    3.9205288211e-07    |    1.4514163349e+01    |    1.6053317594e+01    |
| 0.00150 |    3.9205281374e-07    |    1.5980838723e+01    |    1.7512710368e+01    |
| 0.00163 |    3.9205273879e-07    |    1.7446293470e+01    |    1.8972103215e+01    |
| 0.00175 |    3.9205265727e-07    |    1.8910811177e+01    |    2.0431496142e+01    |
| 0.00187 |    3.9205256919e-07    |    2.0374593821e+01    |    2.1890889156e+01    |
| 0.00200 |    3.9205247454e-07    |    2.1837789161e+01    |    2.3350282262e+01    |
| 0.00213 |    3.9205237333e-07    |    2.3300507837e+01    |    2.4809675468e+01    |
| 0.00225 |    3.9205226557e-07    |    2.4762834309e+01    |    2.6269068780e+01    |
| 0.00237 |    3.9205215125e-07    |    2.6224834184e+01    |    2.7728462205e+01    |
| 0.00250 |    3.9205203037e-07    |    2.7686559226e+01    |    2.9187855749e+01    |
| 0.00263 |    3.9205190294e-07    |    2.9148050782e+01    |    3.0647249419e+01    |
| 0.00275 |    3.9205176895e-07    |    3.0609342323e+01    |    3.2106643222e+01    |
| 0.00287 |    3.9205162842e-07    |    3.2070461189e+01    |    3.3566037163e+01    |
| 0.00300 |    3.9205148133e-07    |    3.3531429970e+01    |    3.5025431251e+01    |
| 0.00313 |    3.9205132769e-07    |    3.4992267492e+01    |    3.6484825490e+01    |
| 0.00325 |    3.9205116750e-07    |    3.6452989578e+01    |    3.7944219889e+01    |
| 0.00337 |    3.9205100076e-07    |    3.7913609588e+01    |    3.9403614453e+01    |
| 0.00350 |    3.9205082747e-07    |    3.9374138890e+01    |    4.0863009189e+01    |
| 0.00363 |    3.9205064763e-07    |    4.0834587241e+01    |    4.2322404103e+01    |
| 0.00375 |    3.9205046124e-07    |    4.2294963053e+01    |    4.3781799203e+01    |
| 0.00387 |    3.9205026830e-07    |    4.3755273628e+01    |    4.5241194494e+01    |
| 0.00400 |    3.9205006882e-07    |    4.5215525300e+01    |    4.6700589984e+01    |
| 0.00413 |    3.9204986279e-07    |    4.6675723628e+01    |    4.8159985678e+01    |
| 0.00425 |    3.9204965020e-07    |    4.8135873472e+01    |    4.9619381584e+01    |
| 0.00438 |    3.9204943108e-07    |    4.9595979139e+01    |    5.1078777708e+01    |
| 0.00450 |    3.9204920540e-07    |    5.1056044468e+01    |    5.2538174056e+01    |
| 0.00462 |    3.9204897318e-07    |    5.2516072857e+01    |    5.3997570635e+01    |
| 0.00475 |    3.9204873441e-07    |    5.3976067307e+01    |    5.5456967452e+01    |
| 0.00487 |    3.9204848909e-07    |    5.5436030520e+01    |    5.6916364513e+01    |
| 0.00500 |    3.9204823723e-07    |    5.6895964940e+01    |    5.8375761824e+01    |
| 0.00513 |    3.9204797882e-07    |    5.8355872745e+01    |    5.9835159392e+01    |
| 0.00525 |    3.9204771386e-07    |    5.9815755907e+01    |    6.1294557224e+01    |
| 0.00538 |    3.9204744235e-07    |    6.1275616203e+01    |    6.2753955327e+01    |
| 0.00550 |    3.9204716430e-07    |    6.2735455262e+01    |    6.4213353706e+01    |
| 0.00562 |    3.9204687971e-07    |    6.4195274572e+01    |    6.5672752368e+01    |
| 0.00575 |    3.9204658857e-07    |    6.5655075473e+01    |    6.7132151320e+01    |
| 0.00588 |    3.9204629088e-07    |    6.7114859180e+01    |    6.8591550568e+01    |
| 0.00600 |    3.9204598664e-07    |    6.8574626816e+01    |    7.0050950119e+01    |
