| z | u | f |
| 0.0000000000e+00 | 3.9206824659e-07 | 0.0000000000e+00 |
| 2.0040080160e-03 | 3.9206740553e-07 | 2.3397423669e+01 |
| 4.0080160321e-03 | 3.9206488233e-07 | 4.6794874522e+01 |
| 6.0120240481e-03 | 3.9206067700e-07 | 7.0192379638e+01 |
| 8.0160320641e-03 | 3.9205478954e-07 | 9.3589965885e+01 |
| 1.0020040080e-02 | 3.9204721993e-07 | 1.1698765982e+02 |
| 1.2024048096e-02 | 3.9203796816e-07 | 1.4038548756e+02 |
| 1.4028056112e-02 | 3.9202703423e-07 | 1.6378347473e+02 |
| 1.6032064128e-02 | 3.9201441813e-07 | 1.8718164630e+02 |
| 1.8036072144e-02 | 3.9200011984e-07 | 2.1058002650e+02 |
| 2.0040080160e-02 | 3.9198413934e-07 | 2.3397863874e+02 |
| 2.2044088176e-02 | 3.9196647663e-07 | 2.5737750546e+02 |
| 2.4048096192e-02 | 3.9194713167e-07 | 2.8077664806e+02 |
| 2.6052104208e-02 | 3.9192610446e-07 | 3.0417608678e+02 |
| 2.8056112224e-02 | 3.9190339497e-07 | 3.2757584061e+02 |
| 3.0060120240e-02 | 3.9187900319e-07 | 3.5097592714e+02 |
| 3.2064128257e-02 | 3.9185292908e-07 | 3.7437636253e+02 |
| 3.4068136273e-02 | 3.9182517265e-07 | 3.9777716133e+02 |
| 3.6072144289e-02 | 3.9179573385e-07 | 4.2117833641e+02 |
| 3.8076152305e-02 | 3.9176461267e-07 | 4.4457989887e+02 |
| 4.0080160321e-02 | 3.9173180910e-07 | 4.6798185789e+02 |
| 4.2084168337e-02 | 3.9169732311e-07 | 4.9138422067e+02 |
| 4.4088176353e-02 | 3.9166115468e-07 | 5.1478699231e+02 |
| 4.6092184369e-02 | 3.9162330380e-07 | 5.3819017568e+02 |
| 4.8096192385e-02 | 3.9158377045e-07 | 5.6159377134e+02 |
| 5.0100200401e-02 | 3.9154255463e-07 | 5.8499777745e+02 |
| 5.2104208417e-02 | 3.9149965631e-07 | 6.0840218961e+02 |
| 5.4108216433e-02 | 3.9145507550e-07 | 6.3180700082e+02 |
| 5.6112224449e-02 | 3.9140881218e-07 | 6.5521220134e+02 |
| 5.8116232465e-02 | 3.9136086637e-07 | 6.7861777856e+02 |
| 6.0120240481e-02 | 3.9131123805e-07 | 7.0202371695e+02 |
| 6.2124248497e-02 | 3.9125992725e-07 | 7.2542999793e+02 |
| 6.4128256513e-02 | 3.9120693396e-07 | 7.4883659975e+02 |
| 6.6132264529e-02 | 3.9115225823e-07 | 7.7224349739e+02 |
| 6.8136272545e-02 | 3.9109590005e-07 | 7.9565066249e+02 |
| 7.0140280561e-02 | 3.9103785948e-07 | 8.1905806319e+02 |
| 7.2144288577e-02 | 3.9097813653e-07 | 8.4246566407e+02 |
| 7.4148296593e-02 | 3.9091673127e-07 | 8.6587342601e+02 |
| 7.6152304609e-02 | 3.9085364375e-07 | 8.8928130611e+02 |
| 7.8156312625e-02 | 3.9078887401e-07 | 9.1268925759e+02 |
| 8.0160320641e-02 | 3.9072242215e-07 | 9.3609722965e+02 |
| 8.2164328657e-02 | 3.9065428823e-07 | 9.5950516740e+02 |
| 8.4168336673e-02 | 3.9058447235e-07 | 9.8291301173e+02 |
| 8.6172344689e-02 | 3.9051297461e-07 | 1.0063206992e+03 |
| 8.8176352705e-02 | 3.9043979513e-07 | 1.0297281620e+03 |
| 9.0180360721e-02 | 3.9036493402e-07 | 1.0531353278e+03 |
| 9.2184368737e-02 | 3.9028839144e-07 | 1.0765421196e+03 |
| 9.4188376754e-02 | 3.9021016753e-07 | 1.0999484557e+03 |
| 9.6192384770e-02 | 3.9013026245e-07 | 1.1233542494e+03 |
| 9.8196392786e-02 | 3.9004867640e-07 | 1.1467594094e+03 |
| 1.0020040080e-01 | 3.8996540956e-07 | 1.1701638391e+03 |
| 1.0220440882e-01 | 3.8988046216e-07 | 1.1935674367e+03 |
| 1.0420841683e-01 | 3.8979383442e-07 | 1.2169700954e+03 |
| 1.0621242485e-01 | 3.8970552659e-07 | 1.2403717028e+03 |
| 1.0821643287e-01 | 3.8961553894e-07 | 1.2637721412e+03 |
| 1.1022044088e-01 | 3.8952387177e-07 | 1.2871712873e+03 |
| 1.1222444890e-01 | 3.8943052537e-07 | 1.3105690120e+03 |
| 1.1422845691e-01 | 3.8933550008e-07 | 1.3339651805e+03 |
| 1.1623246493e-01 | 3.8923879624e-07 | 1.3573596523e+03 |
