| z | u | f |
| 0.0000000000e+00 | 3.9206824659e-07 | 0.0000000000e+00 |
| 1.0101010101e-02 | 3.9204687871e-07 | 1.1793302347e+02 |
| 2.0202020202e-02 | 3.9198277451e-07 | 2.3586944580e+02 |
| 3.0303030303e-02 | 3.9187593227e-07 | 3.5381232360e+02 |
| 4.0404040404e-02 | 3.9172634956e-07 | 4.7176402900e+02 |
| 5.0505050505e-02 | 3.9153402389e-07 | 5.8972590720e+02 |
| 6.0606060606e-02 | 3.9129895354e-07 | 7.0769793407e+02 |
| 7.0707070707e-02 | 3.9102113873e-07 | 8.2567837359e+02 |
| 8.0808080808e-02 | 3.9070058300e-07 | 9.4366343543e+02 |
| 9.0909090909e-02 | 3.9033729486e-07 | 1.0616469328e+03 |
| 1.0101010101e-01 | 3.8993128966e-07 | 1.1796199407e+03 |
| 1.1111111111e-01 | 3.8948259173e-07 | 1.2975704555e+03 |
| 1.2121212121e-01 | 3.8899123679e-07 | 1.4154830557e+03 |
| 1.3131313131e-01 | 3.8845727458e-07 | 1.5333385653e+03 |
| 1.4141414141e-01 | 3.8788077174e-07 | 1.6511137197e+03 |
| 1.5151515152e-01 | 3.8726181491e-07 | 1.7687808364e+03 |
| 1.6161616162e-01 | 3.8660051411e-07 | 1.8863074909e+03 |
| 1.7171717172e-01 | 3.8589700630e-07 | 2.0036561993e+03 |
| 1.8181818182e-01 | 3.8515145918e-07 | 2.1207841096e+03 |
| 1.9191919192e-01 | 3.8436407523e-07 | 2.2376427034e+03 |
| 2.0202020202e-01 | 3.8353509583e-07 | 2.3541775107e+03 |
| 2.1212121212e-01 | 3.8266480572e-07 | 2.4703278392e+03 |
| 2.2222222222e-01 | 3.8175353747e-07 | 2.5860265219e+03 |
| 2.3232323232e-01 | 3.8080167623e-07 | 2.7011996851e+03 |
| 2.4242424242e-01 | 3.7980966442e-07 | 2.8157665409e+03 |
| 2.5252525253e-01 | 3.7877800671e-07 | 2.9296392070e+03 |
| 2.6262626263e-01 | 3.7770727488e-07 | 3.0427225578e+03 |
| 2.7272727273e-01 | 3.7659811278e-07 | 3.1549141112e+03 |
| 2.8282828283e-01 | 3.7545124130e-07 | 3.2661039551e+03 |
| 2.9292929293e-01 | 3.7426746315e-07 | 3.3761747174e+03 |
| 3.0303030303e-01 | 3.7304766768e-07 | 3.4850015866e+03 |
| 3.1313131313e-01 | 3.7179283541e-07 | 3.5924523840e+03 |
| 3.2323232323e-01 | 3.7050404242e-07 | 3.6983876972e+03 |
| 3.3333333333e-01 | 3.6918246435e-07 | 3.8026610753e+03 |
| 3.4343434343e-01 | 3.6782938019e-07 | 3.9051192951e+03 |
| 3.5353535354e-01 | 3.6644617551e-07 | 4.0056026998e+03 |
| 3.6363636364e-01 | 3.6503434529e-07 | 4.1039456181e+03 |
| 3.7373737374e-01 | 3.6359549612e-07 | 4.1999768662e+03 |
| 3.8383838384e-01 | 3.6213134783e-07 | 4.2935203386e+03 |
| 3.9393939394e-01 | 3.6064373431e-07 | 4.3843956912e+03 |
| 4.0404040404e-01 | 3.5913460360e-07 | 4.4724191199e+03 |
| 4.1414141414e-01 | 3.5760601709e-07 | 4.5574042383e+03 |
| 4.2424242424e-01 | 3.5606014771e-07 | 4.6391630555e+03 |
| 4.3434343434e-01 | 3.5449927724e-07 | 4.7175070567e+03 |
| 4.4444444444e-01 | 3.5292579238e-07 | 4.7922483846e+03 |
| 4.5454545455e-01 | 3.5134217979e-07 | 4.8632011223e+03 |
| 4.6464646465e-01 | 3.4975101991e-07 | 4.9301826734e+03 |
| 4.7474747475e-01 | 3.4815497956e-07 | 4.9930152357e+03 |
| 4.8484848485e-01 | 3.4655680332e-07 | 5.0515273629e+03 |
| 4.9494949495e-01 | 3.4495930357e-07 | 5.1055556049e+03 |
| 5.0505050505e-01 | 3.4336534943e-07 | 5.1549462174e+03 |
| 5.1515151515e-01 | 3.4177785438e-07 | 5.1995569281e+03 |
| 5.2525252525e-01 | 3.4019976272e-07 | 5.2392587438e+03 |
| 5.3535353535e-01 | 3.3863403496e-07 | 5.2739377823e+03 |
| 5.4545454545e-01 | 3.3708363225e-07 | 5.3034971066e+03 |
| 5.5555555556e-01 | 3.3555149981e-07 | 5.3278585412e+03 |
| 5.6565656566e-01 | 3.3404054972e-07 | 5.3469644417e+03 |
| 5.7575757576e-01 | 3.3255364307e-07 | 5.3607793924e+03 |
| 5.8585858586e-01 | 3.3109357176e-07 | 5.3692917980e+03 |
| 5.9595959596e-01 | 3.2966303994e-07 | 5.3725153482e+03 |
| 6.0606060606e-01 | 3.2826464213e-07 | 5.3704905172e+03 |
| 6.1616161616e-01 | 3.2690085003e-07 | 5.3632852928e+03 |
| 6.2626262626e-01 | 3.2557399640e-07 | 5.3509959430e+03 |
| 6.3636363636e-01 | 3.2428625583e-07 | 5.3337477195e+03 |
| 6.4646464646e-01 | 3.2303962923e-07 | 5.3116950682e+03 |
| 6.5656565657e-01 | 3.2183592952e-07 | 5.2850214761e+03 |
| 6.6666666667e-01 | 3.2067676896e-07 | 5.2539389198e+03 |
| 6.7676767677e-01 | 3.1956354841e-07 | 5.2186868857e+03 |
| 6.8686868687e-01 | 3.1849744846e-07 | 5.1795309335e+03 |
| 6.9696969697e-01 | 3.1747942290e-07 | 5.1367607847e+03 |
| 7.0707070707e-01 | 3.1651019449e-07 | 5.0906879243e+03 |
| 7.1717171717e-01 | 3.1559025150e-07 | 5.0416427541e+03 |
| 7.2727272727e-01 | 3.1471985005e-07 | 4.9899711723e+03 |
| 7.3737373737e-01 | 3.1389901887e-07 | 4.9360307305e+03 |
| 7.4747474747e-01 | 3.1312756296e-07 | 4.8801864600e+03 |
| 7.5757575758e-01 | 3.1240507110e-07 | 4.8228062983e+03 |
| 7.6767676768e-01 | 3.1173092546e-07 | 4.7642562430e+03 |
| 7.7777777778e-01 | 3.1110431278e-07 | 4.7048953309e+03 |
| 7.8787878788e-01 | 3.1052423832e-07 | 4.6450705618e+03 |
| 7.9797979798e-01 | 3.0998954663e-07 | 4.5851119289e+03 |
| 8.0808080808e-01 | 3.0949891748e-07 | 4.5253276573e+03 |
| 8.1818181818e-01 | 3.0905088952e-07 | 4.4659997930e+03 |
| 8.2828282828e-01 | 3.0864387595e-07 | 4.4073804064e+03 |
| 8.3838383838e-01 | 3.0827617896e-07 | 4.3496885399e+03 |
| 8.4848484848e-01 | 3.0794600533e-07 | 4.2931080828e+03 |
| 8.5858585859e-01 | 3.0765147950e-07 | 4.2377866598e+03 |
| 8.6868686869e-01 | 3.0739064948e-07 | 4.1838355308e+03 |
| 8.7878787879e-01 | 3.0716150238e-07 | 4.1313308045e+03 |
| 8.8888888889e-01 | 3.0696197537e-07 | 4.0803157316e+03 |
| 8.9898989899e-01 | 3.0678995852e-07 | 4.0308038475e+03 |
| 9.0909090909e-01 | 3.0664331371e-07 | 3.9827832627e+03 |
| 9.1919191919e-01 | 3.0651989179e-07 | 3.9362214638e+03 |
| 9.2929292929e-01 | 3.0641753417e-07 | 3.8910699466e+03 |
| 9.3939393939e-01 | 3.0633408470e-07 | 3.8472688690e+03 |
| 9.4949494949e-01 | 3.0626740200e-07 | 3.8047511810e+03 |
| 9.5959595960e-01 | 3.0621537301e-07 | 3.7634460070e+03 |
| 9.6969696970e-01 | 3.0617593064e-07 | 3.7232812415e+03 |
| 9.7979797980e-01 | 3.0614707439e-07 | 3.6841853951e+03 |
| 9.8989898990e-01 | 3.0612688763e-07 | 3.6460887218e+03 |
| 1.0000000000e+00 | 3.0611356338e-07 | 3.6089241662e+03 |
