| z | u | f |
| 0.0000000000e+00 | 3.9206824659e-07 | 0.0000000000e+00 |
| 1.1111111111e-01 | 3.8948218402e-07 | 1.2975129048e+03 |
| 2.2222222222e-01 | 3.8175229647e-07 | 2.5859154078e+03 |
| 3.3333333333e-01 | 3.6917989015e-07 | 3.8025250526e+03 |
| 4.4444444444e-01 | 3.5292205810e-07 | 4.7921696973e+03 |
| 5.5555555556e-01 | 3.3554778128e-07 | 5.3279467163e+03 |
| 6.6666666667e-01 | 3.2067400220e-07 | 5.2541558439e+03 |
| 7.7777777778e-01 | 3.1110132294e-07 | 4.7048993327e+03 |
| 8.8888888889e-01 | 3.0695826859e-07 | 4.0801598828e+03 |
| 1.0000000000e+00 | 3.0611082975e-07 | 3.6089152047e+03 |
