| z | u | f |
| 0.0000000000e+00 | 3.9206824659e-07 | 0.0000000000e+00 |
| 1.0001000100e-04 | 3.9206824450e-07 | 1.1676479801e+00 |
| 2.0002000200e-04 | 3.9206823821e-07 | 2.3352959637e+00 |
| 3.0003000300e-04 | 3.9206822774e-07 | 3.5029439541e+00 |
| 4.0004000400e-04 | 3.9206821308e-07 | 4.6705919546e+00 |
| 5.0005000500e-04 | 3.9206819422e-07 | 5.8382399686e+00 |
| 6.0006000600e-04 | 3.9206817118e-07 | 7.0058879996e+00 |
| 7.0007000700e-04 | 3.9206814395e-07 | 8.1735360508e+00 |
| 8.0008000800e-04 | 3.9206811253e-07 | 9.3411841257e+00 |
| 9.0009000900e-04 | 3.9206807692e-07 | 1.0508832228e+01 |
| 1.0001000100e-03 | 3.9206803712e-07 | 1.1676480360e+01 |
| 1.1001100110e-03 | 3.9206799313e-07 | 1.2844128526e+01 |
| 1.2001200120e-03 | 3.9206794496e-07 | 1.4011776730e+01 |
| 1.3001300130e-03 | 3.9206789259e-07 | 1.5179424974e+01 |
| 1.4001400140e-03 | 3.9206783603e-07 | 1.6347073261e+01 |
| 1.5001500150e-03 | 3.9206777529e-07 | 1.7514721597e+01 |
| 1.6001600160e-03 | 3.9206771035e-07 | 1.8682369983e+01 |
| 1.7001700170e-03 | 3.9206764123e-07 | 1.9850018423e+01 |
| 1.8001800180e-03 | 3.9206756791e-07 | 2.1017666920e+01 |
| 1.9001900190e-03 | 3.9206749041e-07 | 2.2185315479e+01 |
| 2.0002000200e-03 | 3.9206740872e-07 | 2.3352964101e+01 |
| 2.1002100210e-03 | 3.9206732284e-07 | 2.4520612791e+01 |
| 2.2002200220e-03 | 3.9206723277e-07 | 2.5688261552e+01 |
| 2.3002300230e-03 | 3.9206713851e-07 | 2.6855910388e+01 |
| 2.4002400240e-03 | 3.9206704006e-07 | 2.8023559301e+01 |
| 2.5002500250e-03 | 3.9206693742e-07 | 2.9191208295e+01 |
| 2.6002600260e-03 | 3.9206683059e-07 | 3.0358857374e+01 |
| 2.7002700270e-03 | 3.9206671957e-07 | 3.1526506541e+01 |
| 2.8002800280e-03 | 3.9206660436e-07 | 3.2694155799e+01 |
| 2.9002900290e-03 | 3.9206648497e-07 | 3.3861805151e+01 |
| 3.0003000300e-03 | 3.9206636138e-07 | 3.5029454601e+01 |
| 3.1003100310e-03 | 3.9206623360e-07 | 3.6197104153e+01 |
| 3.2003200320e-03 | 3.9206610164e-07 | 3.7364753809e+01 |
| 3.3003300330e-03 | 3.9206596549e-07 | 3.8532403574e+01 |
| 3.4003400340e-03 | 3.9206582514e-07 | 3.9700053449e+01 |
| 3.5003500350e-03 | 3.9206568061e-07 | 4.0867703440e+01 |
| 3.6003600360e-03 | 3.9206553189e-07 | 4.2035353549e+01 |
| 3.7003700370e-03 | 3.9206537897e-07 | 4.3203003779e+01 |
| 3.8003800380e-03 | 3.9206522187e-07 | 4.4370654134e+01 |
| 3.9003900390e-03 | 3.9206506058e-07 | 4.5538304617e+01 |
| 4.0004000400e-03 | 3.9206489510e-07 | 4.6705955232e+01 |
| 4.1004100410e-03 | 3.9206472543e-07 | 4.7873605982e+01 |
| 4.2004200420e-03 | 3.9206455158e-07 | 4.9041256870e+01 |
| 4.3004300430e-03 | 3.9206437353e-07 | 5.0208907899e+01 |
| 4.4004400440e-03 | 3.9206419129e-07 | 5.1376559074e+01 |
| 4.5004500450e-03 | 3.9206400486e-07 | 5.2544210397e+01 |
| 4.6004600460e-03 | 3.9206381425e-07 | 5.3711861872e+01 |
| 4.7004700470e-03 | 3.9206361944e-07 | 5.4879513501e+01 |
| 4.8004800480e-03 | 3.9206342045e-07 | 5.6047165289e+01 |
| 4.9004900490e-03 | 3.9206321727e-07 | 5.7214817239e+01 |
| 5.0005000500e-03 | 3.9206300989e-07 | 5.8382469354e+01 |
| 5.1005100510e-03 | 3.9206279833e-07 | 5.9550121637e+01 |
| 5.2005200520e-03 | 3.9206258258e-07 | 6.0717774093e+01 |
| 5.3005300530e-03 | 3.9206236264e-07 | 6.1885426723e+01 |
| 5.4005400540e-03 | 3.9206213850e-07 | 6.3053079531e+01 |
| 5.5005500550e-03 | 3.9206191018e-07 | 6.4220732522e+01 |
| 5.6005600560e-03 | 3.9206167767e-07 | 6.5388385697e+01 |
| 5.7005700570e-03 | 3.9206144098e-07 | 6.6556039061e+01 |
| 5.8005800580e-03 | 3.9206120009e-07 | 6.7723692617e+01 |
| 5.9005900590e-03 | 3.9206095501e-07 | 6.8891346368e+01 |
| 6.0006000600e-03 | 3.9206070574e-07 | 7.0059000317e+01 |
| 6.1006100610e-03 | 3.9206045229e-07 | 7.1226654468e+01 |
| 6.2006200620e-03 | 3.9206019464e-07 | 7.2394308824e+01 |
| 6.3006300630e-03 | 3.9205993281e-07 | 7.3561963388e+01 |
| 6.4006400640e-03 | 3.9205966678e-07 | 7.4729618165e+01 |
| 6.5006500650e-03 | 3.9205939657e-07 | 7.5897273156e+01 |
| 6.6006600660e-03 | 3.9205912216e-07 | 7.7064928365e+01 |
| 6.7006700670e-03 | 3.9205884357e-07 | 7.8232583796e+01 |
| 6.8006800680e-03 | 3.9205856079e-07 | 7.9400239452e+01 |
| 6.9006900690e-03 | 3.9205827382e-07 | 8.0567895337e+01 |
| 7.0007000700e-03 | 3.9205798266e-07 | 8.1735551453e+01 |
| 7.1007100710e-03 | 3.9205768731e-07 | 8.2903207803e+01 |
| 7.2007200720e-03 | 3.9205738777e-07 | 8.4070864392e+01 |
| 7.3007300730e-03 | 3.9205708404e-07 | 8.5238521223e+01 |
| 7.4007400740e-03 | 3.9205677612e-07 | 8.6406178298e+01 |
| 7.5007500750e-03 | 3.9205646401e-07 | 8.7573835621e+01 |
| 7.6007600760e-03 | 3.9205614771e-07 | 8.8741493196e+01 |
| 7.7007700770e-03 | 3.9205582723e-07 | 8.9909151025e+01 |
| 7.8007800780e-03 | 3.9205550255e-07 | 9.1076809112e+01 |
| 7.9007900790e-03 | 3.9205517368e-07 | 9.2244467461e+01 |
| 8.0008000800e-03 | 3.9205484063e-07 | 9.3412126074e+01 |
| 8.1008100810e-03 | 3.9205450339e-07 | 9.4579784954e+01 |
| 8.2008200820e-03 | 3.9205416195e-07 | 9.5747444106e+01 |
| 8.3008300830e-03 | 3.9205381633e-07 | 9.6915103532e+01 |
| 8.4008400840e-03 | 3.9205346652e-07 | 9.8082763236e+01 |
| 8.5008500850e-03 | 3.9205311252e-07 | 9.9250423220e+01 |
| 8.6008600860e-03 | 3.9205275432e-07 | 1.0041808349e+02 |
| 8.7008700870e-03 | 3.9205239194e-07 | 1.0158574405e+02 |
| 8.8008800880e-03 | 3.9205202537e-07 | 1.0275340489e+02 |
| 8.9008900890e-03 | 3.9205165461e-07 | 1.0392106603e+02 |
| 9.0009000900e-03 | 3.9205127967e-07 | 1.0508872747e+02 |
| 9.1009100910e-03 | 3.9205090053e-07 | 1.0625638921e+02 |
| 9.2009200920e-03 | 3.9205051720e-07 | 1.0742405125e+02 |
| 9.3009300930e-03 | 3.9205012968e-07 | 1.0859171360e+02 |
| 9.4009400940e-03 | 3.9204973798e-07 | 1.0975937626e+02 |
| 9.5009500950e-03 | 3.9204934208e-07 | 1.1092703923e+02 |
| 9.6009600960e-03 | 3.9204894199e-07 | 1.1209470252e+02 |
| 9.7009700970e-03 | 3.9204853772e-07 | 1.1326236613e+02 |
| 9.8009800980e-03 | 3.9204812926e-07 | 1.1443003006e+02 |
| 9.9009900990e-03 | 3.9204771660e-07 | 1.1559769432e+02 |
