Число узлов n = 1001
--------------------------------------------------------------------------------------
|    x    |          u(z)          |          f(z)          |     f(z) integral      |
--------------------------------------------------------------------------------------
| 0.00000 |    3.9205105607e-07    |    0.0000000000e+00    |    0.0000000000e+00    |
| 0.00100 |    3.9205080881e-07    |   -0.0000000000e+00    |    1.1675152142e+01    |
| 0.00200 |    3.9205105607e-07    |    3.1884908657e+00    |    2.3350302952e+01    |
| 0.00300 |    3.9205058004e-07    |    1.9955639694e+01    |    3.5025455874e+01    |
| 0.00400 |    3.9204962428e-07    |    3.2843178567e+01    |    4.6700615426e+01    |
| 0.00500 |    3.9204822359e-07    |    4.5084124482e+01    |    5.8375785139e+01    |
| 0.00600 |    3.9204638957e-07    |    5.7089955348e+01    |    7.0050968435e+01    |
| 0.00700 |    3.9204412748e-07    |    6.8982760409e+01    |    8.1726168687e+01    |
| 0.00800 |    3.9204144016e-07    |    8.0812281721e+01    |    9.3401389236e+01    |
| 0.00900 |    3.9203832932e-07    |    9.2602727019e+01    |    1.0507663339e+02    |
| 0.01000 |    3.9203479606e-07    |    1.0436732875e+02    |    1.1675190443e+02    |
| 0.01100 |    3.9203084113e-07    |    1.1611394369e+02    |    1.2842720561e+02    |
| 0.01200 |    3.9202646507e-07    |    1.2784753626e+02    |    1.4010254012e+02    |
| 0.01300 |    3.9202166827e-07    |    1.3957139972e+02    |    1.5177791116e+02    |
| 0.01400 |    3.9201645104e-07    |    1.5128780606e+02    |    1.6345332184e+02    |
| 0.01500 |    3.9201081361e-07    |    1.6299837414e+02    |    1.7512877527e+02    |
| 0.01600 |    3.9200475616e-07    |    1.7470428916e+02    |    1.8680427447e+02    |
| 0.01700 |    3.9199827885e-07    |    1.8640643910e+02    |    1.9847982246e+02    |
| 0.01800 |    3.9199138179e-07    |    1.9810550264e+02    |    2.1015542217e+02    |
| 0.01900 |    3.9198406509e-07    |    2.0980200763e+02    |    2.2183107648e+02    |
| 0.02000 |    3.9197632883e-07    |    2.2149637092e+02    |    2.3350678822e+02    |
| 0.02100 |    3.9196817308e-07    |    2.3318892626e+02    |    2.4518256016e+02    |
| 0.02200 |    3.9195959790e-07    |    2.4487994411e+02    |    2.5685839499e+02    |
| 0.02300 |    3.9195060333e-07    |    2.5656964604e+02    |    2.6853429534e+02    |
| 0.02400 |    3.9194118944e-07    |    2.6825821543e+02    |    2.8021026378e+02    |
| 0.02500 |    3.9193135624e-07    |    2.7994580539e+02    |    2.9188630279e+02    |
| 0.02600 |    3.9192110378e-07    |    2.9163254484e+02    |    3.0356241477e+02    |
