Число узлов n = 401
--------------------------------------------------------------------------------------
|    x    |          u(z)          |          f(z)          |     f(z) integral      |
--------------------------------------------------------------------------------------
| 0.00000 |    3.9243958652e-07    |    0.0000000000e+00    |    0.0000000000e+00    |
| 0.00250 |    3.9243804115e-07    |    3.0942468576e+01    |    2.9182670975e+01    |
| 0.00500 |    3.9243403634e-07    |    5.9069303906e+01    |    5.8365395707e+01    |
| 0.00750 |    3.9242744582e-07    |    8.8000727357e+01    |    8.7548226502e+01    |
| 0.01000 |    3.9241825155e-07    |    1.1706638841e+02    |    1.1673121471e+02    |
| 0.01250 |    3.9240644749e-07    |    1.4618101380e+02    |    1.4591441095e+02    |
| 0.01500 |    3.9239203090e-07    |    1.7531933702e+02    |    1.7509786464e+02    |
| 0.01750 |    3.9237500028e-07    |    2.0447109203e+02    |    2.0428162366e+02    |
| 0.02000 |    3.9235535471e-07    |    2.3363130573e+02    |    2.3346573398e+02    |
| 0.02250 |    3.9233309359e-07    |    2.6279727861e+02    |    2.6265023938e+02    |
| 0.02500 |    3.9230821650e-07    |    2.9196742337e+02    |    2.9183518108e+02    |
| 0.02750 |    3.9228072312e-07    |    3.2114074958e+02    |    3.2102059745e+02    |
| 0.03000 |    3.9225061321e-07    |    3.5031661018e+02    |    3.5020652371e+02    |
| 0.03250 |    3.9221788657e-07    |    3.7949456637e+02    |    3.7939299155e+02    |
| 0.03500 |    3.9218254303e-07    |    4.0867431097e+02    |    4.0858002888e+02    |
| 0.03750 |    3.9214458247e-07    |    4.3785562258e+02    |    4.3776765945e+02    |
| 0.04000 |    3.9210400476e-07    |    4.6703833698e+02    |    4.6695590258e+02    |
| 0.04250 |    3.9206080980e-07    |    4.9622232856e+02    |    4.9614477282e+02    |
| 0.04500 |    3.9201499751e-07    |    5.2540749792e+02    |    5.2533427964e+02    |
| 0.04750 |    3.9196656781e-07    |    5.5459376322e+02    |    5.5452442709e+02    |
| 0.05000 |    3.9191552063e-07    |    5.8378105415e+02    |    5.8371521351e+02    |
| 0.05250 |    3.9186185593e-07    |    6.1296930748e+02    |    6.1290663119e+02    |
| 0.05500 |    3.9180557366e-07    |    6.4215846370e+02    |    6.4209866609e+02    |
| 0.05750 |    3.9174667379e-07    |    6.7134846459e+02    |    6.7129129745e+02    |
| 0.06000 |    3.9168515631e-07    |    7.0053925114e+02    |    7.0048449755e+02    |
| 0.06250 |    3.9162102120e-07    |    7.2973076207e+02    |    7.2967823135e+02    |
| 0.06500 |    3.9155426849e-07    |    7.5892293250e+02    |    7.5887245617e+02    |
| 0.06750 |    3.9148489819e-07    |    7.8811569288e+02    |    7.8806712139e+02    |
| 0.07000 |    3.9141291035e-07    |    8.1730896811e+02    |    8.1726216813e+02    |
| 0.07250 |    3.9133830503e-07    |    8.4650267673e+02    |    8.4645752890e+02    |
| 0.07500 |    3.9126108230e-07    |    8.7569673024e+02    |    8.7565312734e+02    |
| 0.07750 |    3.9118124227e-07    |    9.0489103249e+02    |    9.0484887785e+02    |
| 0.08000 |    3.9109878506e-07    |    9.3408547910e+02    |    9.3404468531e+02    |
| 0.08250 |    3.9101371080e-07    |    9.6327995696e+02    |    9.6324044472e+02    |
| 0.08500 |    3.9092601968e-07    |    9.9247434373e+02    |    9.9243604094e+02    |
| 0.08750 |    3.9083571189e-07    |    1.0216685074e+03    |    1.0216313483e+03    |
| 0.09000 |    3.9074278766e-07    |    1.0508623059e+03    |    1.0508262304e+03    |
| 0.09250 |    3.9064724724e-07    |    1.0800555866e+03    |    1.0800205397e+03    |
| 0.09500 |    3.9054909093e-07    |    1.1092481859e+03    |    1.1092141170e+03    |
| 0.09750 |    3.9044831906e-07    |    1.1384399290e+03    |    1.1384067918e+03    |
| 0.10000 |    3.9034493200e-07    |    1.1676306295e+03    |    1.1675983811e+03    |
| 0.10250 |    3.9023893013e-07    |    1.1968200889e+03    |    1.1967886898e+03    |
| 0.10500 |    3.9013031393e-07    |    1.2260080961e+03    |    1.2259775099e+03    |
| 0.10750 |    3.9001908386e-07    |    1.2551944276e+03    |    1.2551646206e+03    |
| 0.11000 |    3.8990524047e-07    |    1.2843788467e+03    |    1.2843497875e+03    |
| 0.11250 |    3.8978878435e-07    |    1.3135611032e+03    |    1.3135327628e+03    |
| 0.11500 |    3.8966971614e-07    |    1.3427409333e+03    |    1.3427132847e+03    |
| 0.11750 |    3.8954803652e-07    |    1.3719180588e+03    |    1.3718910771e+03    |
| 0.12000 |    3.8942374624e-07    |    1.4010921875e+03    |    1.4010658493e+03    |
| 0.12250 |    3.8929684612e-07    |    1.4302630121e+03    |    1.4302372958e+03    |
| 0.12500 |    3.8916733702e-07    |    1.4594302105e+03    |    1.4594050958e+03    |
| 0.12750 |    3.8903521987e-07    |    1.4885934451e+03    |    1.4885689131e+03    |
| 0.13000 |    3.8890049569e-07    |    1.5177523624e+03    |    1.5177283957e+03    |
| 0.13250 |    3.8876316553e-07    |    1.5469065933e+03    |    1.5468831753e+03    |
| 0.13500 |    3.8862323055e-07    |    1.5760557520e+03    |    1.5760328674e+03    |
| 0.13750 |    3.8848069197e-07    |    1.6051994362e+03    |    1.6051770708e+03    |
| 0.14000 |    3.8833555109e-07    |    1.6343372267e+03    |    1.6343153670e+03    |
| 0.14250 |    3.8818780930e-07    |    1.6634686869e+03    |    1.6634473204e+03    |
| 0.14500 |    3.8803746806e-07    |    1.6925933626e+03    |    1.6925724778e+03    |
