Число узлов n = 131
--------------------------------------------------------------------------------------
|    x    |          u(z)          |          f(z)          |     f(z) integral      |
--------------------------------------------------------------------------------------
| 0.00000 |    3.9917039985e-07    |    0.0000000000e+00    |    0.0000000000e+00    |
| 0.00769 |    3.9915576912e-07    |    9.5022120270e+01    |    8.9514762468e+01    |
| 0.01538 |    3.9911795609e-07    |    1.8123366917e+02    |    1.7903105730e+02    |
| 0.02308 |    3.9905574426e-07    |    2.6996588166e+02    |    2.6855029577e+02    |
| 0.03077 |    3.9896895903e-07    |    3.5912184999e+02    |    3.5807370443e+02    |
| 0.03846 |    3.9885754136e-07    |    4.4843549893e+02    |    4.4760225390e+02    |
| 0.04615 |    3.9872146381e-07    |    5.3782820887e+02    |    5.3713656670e+02    |
| 0.05385 |    3.9856071125e-07    |    6.2726787419e+02    |    6.2667682848e+02    |
| 0.06154 |    3.9837527470e-07    |    7.1673843518e+02    |    7.1622269992e+02    |
| 0.06923 |    3.9816514898e-07    |    8.0623034191e+02    |    8.0577322890e+02    |
| 0.07692 |    3.9793033178e-07    |    8.9573683253e+02    |    8.9532676278e+02    |
| 0.08462 |    3.9767082344e-07    |    9.8525223414e+02    |    9.8488086080e+02    |
| 0.09231 |    3.9738662705e-07    |    1.0747710827e+03    |    1.0744322066e+03    |
| 0.10000 |    3.9707774873e-07    |    1.1642876142e+03    |    1.1639765209e+03    |
| 0.10769 |    3.9674419803e-07    |    1.2537954384e+03    |    1.2535084744e+03    |
| 0.11538 |    3.9638598849e-07    |    1.3432873097e+03    |    1.3430216011e+03    |
| 0.12308 |    3.9600313822e-07    |    1.4327549526e+03    |    1.4325082120e+03    |
| 0.13077 |    3.9559567055e-07    |    1.5221889185e+03    |    1.5219593090e+03    |
| 0.13846 |    3.9516361477e-07    |    1.6115784631e+03    |    1.6113645004e+03    |
| 0.14615 |    3.9470700690e-07    |    1.7009114357e+03    |    1.7007119160e+03    |
| 0.15385 |    3.9422589054e-07    |    1.7901741787e+03    |    1.7899881245e+03    |
| 0.16154 |    3.9372031771e-07    |    1.8793514324e+03    |    1.8791780510e+03    |
| 0.16923 |    3.9319034981e-07    |    1.9684262450e+03    |    1.9682648971e+03    |
| 0.17692 |    3.9263605857e-07    |    2.0573798877e+03    |    2.0572300616e+03    |
| 0.18462 |    3.9205752706e-07    |    2.1461917723e+03    |    2.1460530645e+03    |
| 0.19231 |    3.9145485077e-07    |    2.2348393735e+03    |    2.2347114721e+03    |
| 0.20000 |    3.9082813865e-07    |    2.3232981540e+03    |    2.3231808257e+03    |
| 0.20769 |    3.9017751428e-07    |    2.4115414937e+03    |    2.4114345733e+03    |
| 0.21538 |    3.8950311697e-07    |    2.4995406235e+03    |    2.4994440039e+03    |
| 0.22308 |    3.8880510300e-07    |    2.5872645620e+03    |    2.5871781874e+03    |
| 0.23077 |    3.8808364680e-07    |    2.6746800583e+03    |    2.6746039170e+03    |
| 0.23846 |    3.8733894218e-07    |    2.7617515394e+03    |    2.7616856580e+03    |
| 0.24615 |    3.8657120355e-07    |    2.8484410629e+03    |    2.8483855012e+03    |
| 0.25385 |    3.8578066723e-07    |    2.9347082763e+03    |    2.9346631229e+03    |
| 0.26154 |    3.8496759267e-07    |    3.0205103828e+03    |    3.0204757506e+03    |
| 0.26923 |    3.8413226374e-07    |    3.1058021145e+03    |    3.1057781370e+03    |
| 0.27692 |    3.8327498996e-07    |    3.1905357136e+03    |    3.1905225410e+03    |
| 0.28462 |    3.8239610778e-07    |    3.2746609217e+03    |    3.2746587178e+03    |
| 0.29231 |    3.8149598177e-07    |    3.3581249791e+03    |    3.3581339175e+03    |
| 0.30000 |    3.8057500587e-07    |    3.4408726336e+03    |    3.4408928947e+03    |
| 0.30769 |    3.7963360451e-07    |    3.5228461601e+03    |    3.5228779278e+03    |
| 0.31538 |    3.7867223377e-07    |    3.6039853916e+03    |    3.6040288502e+03    |
| 0.32308 |    3.7769138241e-07    |    3.6842277626e+03    |    3.6842830935e+03    |
| 0.33077 |    3.7669157295e-07    |    3.7635083653e+03    |    3.7635757436e+03    |
| 0.33846 |    3.7567336251e-07    |    3.8417600195e+03    |    3.8418396109e+03    |
| 0.34615 |    3.7463734378e-07    |    3.9189133568e+03    |    3.9190053145e+03    |
| 0.35385 |    3.7358414568e-07    |    3.9948969204e+03    |    3.9950013812e+03    |
| 0.36154 |    3.7251443409e-07    |    4.0696372804e+03    |    4.0697543617e+03    |
| 0.36923 |    3.7142891237e-07    |    4.1430591662e+03    |    4.1431889620e+03    |
| 0.37692 |    3.7032832179e-07    |    4.2150856151e+03    |    4.2152281929e+03    |
| 0.38462 |    3.6921344181e-07    |    4.2856381401e+03    |    4.2857935370e+03    |
| 0.39231 |    3.6808509021e-07    |    4.3546369151e+03    |    4.3548051339e+03    |
| 0.40000 |    3.6694412306e-07    |    4.4220009797e+03    |    4.4221819850e+03    |
| 0.40769 |    3.6579143455e-07    |    4.4876484621e+03    |    4.4878421769e+03    |
| 0.41538 |    3.6462795657e-07    |    4.5514968234e+03    |    4.5517031244e+03    |
| 0.42308 |    3.6345465819e-07    |    4.6134631197e+03    |    4.6136818341e+03    |
| 0.43077 |    3.6227254483e-07    |    4.6734642857e+03    |    4.6736951865e+03    |
| 0.43846 |    3.6108265729e-07    |    4.7314174373e+03    |    4.7316602394e+03    |
| 0.44615 |    3.5988607056e-07    |    4.7872401937e+03    |    4.7874945501e+03    |
| 0.45385 |    3.5868389239e-07    |    4.8408510197e+03    |    4.8411165170e+03    |
| 0.46154 |    3.5747726156e-07    |    4.8921695857e+03    |    4.8924457404e+03    |
| 0.46923 |    3.5626734605e-07    |    4.9411171465e+03    |    4.9414034006e+03    |
| 0.47692 |    3.5505534084e-07    |    4.9876169366e+03    |    4.9879126541e+03    |
| 0.48462 |    3.5384246551e-07    |    5.0315945826e+03    |    5.0318990451e+03    |
| 0.49231 |    3.5262996165e-07    |    5.0729785285e+03    |    5.0732909320e+03    |
| 0.50000 |    3.5141908991e-07    |    5.1117004757e+03    |    5.1120199263e+03    |
| 0.50769 |    3.5021112694e-07    |    5.1476958327e+03    |    5.1480213435e+03    |
| 0.51538 |    3.4900736201e-07    |    5.1809041746e+03    |    5.1812346621e+03    |
| 0.52308 |    3.4780909347e-07    |    5.2112697085e+03    |    5.2116039894e+03    |
| 0.53077 |    3.4661762494e-07    |    5.2387417430e+03    |    5.2390785310e+03    |
| 0.53846 |    3.4543426133e-07    |    5.2632751575e+03    |    5.2636130607e+03    |
| 0.54615 |    3.4426030474e-07    |    5.2848308699e+03    |    5.2851683876e+03    |
| 0.55385 |    3.4309705007e-07    |    5.3033762968e+03    |    5.3037118176e+03    |
| 0.56154 |    3.4194578067e-07    |    5.3188858041e+03    |    5.3192176027e+03    |
| 0.56923 |    3.4080776369e-07    |    5.3313411421e+03    |    5.3316673776e+03    |
| 0.57692 |    3.3968424551e-07    |    5.3407318618e+03    |    5.3410505754e+03    |
| 0.58462 |    3.3857644698e-07    |    5.3470557074e+03    |    5.3473648201e+03    |
| 0.59231 |    3.3748555880e-07    |    5.3503189785e+03    |    5.3506162891e+03    |
| 0.60000 |    3.3641273673e-07    |    5.3505368590e+03    |    5.3508200419e+03    |
