Число узлов n = 301
--------------------------------------------------------------------------------------
|    x    |          u(z)          |          f(z)          |     f(z) integral      |
--------------------------------------------------------------------------------------
| 0.00000 |    3.9349170012e-07    |    0.0000000000e+00    |    0.0000000000e+00    |
| 0.00333 |    3.9348895278e-07    |    4.1244054237e+01    |    3.8891377626e+01    |
| 0.00667 |    3.9348183613e-07    |    7.8723927238e+01    |    7.7782882402e+01    |
| 0.01000 |    3.9347012505e-07    |    1.1727956713e+02    |    1.1667463745e+02    |
| 0.01333 |    3.9345378737e-07    |    1.5601482916e+02    |    1.5556676244e+02    |
| 0.01667 |    3.9343281232e-07    |    1.9481575937e+02    |    1.9445937356e+02    |
| 0.02000 |    3.9340719496e-07    |    2.3364862365e+02    |    2.3335258184e+02    |
| 0.02333 |    3.9337693260e-07    |    2.7249973755e+02    |    2.7224649168e+02    |
| 0.02667 |    3.9334202357e-07    |    3.1136248727e+02    |    3.1114119947e+02    |
| 0.03000 |    3.9330246678e-07    |    3.5023329230e+02    |    3.5003679230e+02    |
| 0.03333 |    3.9325826142e-07    |    3.8911005163e+02    |    3.8893334651e+02    |
| 0.03667 |    3.9320940692e-07    |    4.2799145407e+02    |    4.2783092645e+02    |
| 0.04000 |    3.9315590280e-07    |    4.6687663830e+02    |    4.6672958305e+02    |
| 0.04333 |    3.9309774871e-07    |    5.0576501137e+02    |    5.0562935252e+02    |
| 0.04667 |    3.9303494433e-07    |    5.4465614535e+02    |    5.4453025501e+02    |
| 0.05000 |    3.9296748943e-07    |    5.8354971507e+02    |    5.8343229326e+02    |
| 0.05333 |    3.9289538381e-07    |    6.2244545903e+02    |    6.2233545126e+02    |
| 0.05667 |    3.9281862735e-07    |    6.6134315361e+02    |    6.6123969291e+02    |
| 0.06000 |    3.9273721993e-07    |    7.0024259560e+02    |    7.0014496068e+02    |
| 0.06333 |    3.9265116151e-07    |    7.3914358975e+02    |    7.3905117426e+02    |
| 0.06667 |    3.9256045209e-07    |    7.7804593973e+02    |    7.7795822924e+02    |
| 0.07000 |    3.9246509172e-07    |    8.1694944129e+02    |    8.1686599576e+02    |
| 0.07333 |    3.9236508052e-07    |    8.5585387691e+02    |    8.5577431715e+02    |
| 0.07667 |    3.9226041866e-07    |    8.9475901153e+02    |    8.9468300864e+02    |
| 0.08000 |    3.9215110639e-07    |    9.3366458899e+02    |    9.3359185598e+02    |
| 0.08333 |    3.9203714402e-07    |    9.7257032901e+02    |    9.7250061411e+02    |
| 0.08667 |    3.9191853196e-07    |    1.0114759246e+03    |    1.0114090058e+03    |
| 0.09000 |    3.9179527071e-07    |    1.0503810396e+03    |    1.0503167205e+03    |
| 0.09333 |    3.9166736084e-07    |    1.0892853068e+03    |    1.0892234126e+03    |
| 0.09667 |    3.9153480308e-07    |    1.1281883257e+03    |    1.1281287006e+03    |
| 0.10000 |    3.9139759821e-07    |    1.1670896609e+03    |    1.1670321653e+03    |
| 0.10333 |    3.9125574718e-07    |    1.2059888402e+03    |    1.2059333489e+03    |
| 0.10667 |    3.9110925107e-07    |    1.2448853533e+03    |    1.2448317533e+03    |
| 0.11000 |    3.9095811107e-07    |    1.2837786496e+03    |    1.2837268392e+03    |
| 0.11333 |    3.9080232855e-07    |    1.3226681371e+03    |    1.3226180243e+03    |
| 0.11667 |    3.9064190505e-07    |    1.3615531810e+03    |    1.3615046823e+03    |
| 0.12000 |    3.9047684226e-07    |    1.4004331019e+03    |    1.4003861414e+03    |
| 0.12333 |    3.9030714207e-07    |    1.4393071745e+03    |    1.4392616834e+03    |
| 0.12667 |    3.9013280656e-07    |    1.4781746262e+03    |    1.4781305419e+03    |
| 0.13000 |    3.8995383802e-07    |    1.5170346358e+03    |    1.5169919010e+03    |
| 0.13333 |    3.8977023897e-07    |    1.5558863319e+03    |    1.5558448946e+03    |
| 0.13667 |    3.8958201214e-07    |    1.5947287919e+03    |    1.5946886044e+03    |
| 0.14000 |    3.8938916053e-07    |    1.6335610402e+03    |    1.6335220591e+03    |
| 0.14333 |    3.8919168737e-07    |    1.6723820474e+03    |    1.6723442329e+03    |
| 0.14667 |    3.8898959620e-07    |    1.7111907285e+03    |    1.7111540445e+03    |
| 0.15000 |    3.8878289081e-07    |    1.7499859419e+03    |    1.7499503552e+03    |
| 0.15333 |    3.8857157530e-07    |    1.7887664882e+03    |    1.7887319685e+03    |
| 0.15667 |    3.8835565408e-07    |    1.8275311087e+03    |    1.8274976284e+03    |
| 0.16000 |    3.8813513190e-07    |    1.8662784841e+03    |    1.8662460182e+03    |
| 0.16333 |    3.8791001384e-07    |    1.9050072337e+03    |    1.9049757591e+03    |
| 0.16667 |    3.8768030533e-07    |    1.9437159136e+03    |    1.9436854095e+03    |
| 0.17000 |    3.8744601220e-07    |    1.9824030159e+03    |    1.9823734635e+03    |
| 0.17333 |    3.8720714064e-07    |    2.0210669675e+03    |    2.0210383497e+03    |
