Число узлов n = 141
--------------------------------------------------------------------------------------
|    x    |          u(z)          |          f(z)          |     f(z) integral      |
--------------------------------------------------------------------------------------
| 0.00000 |    3.9824494750e-07    |    0.0000000000e+00    |    0.0000000000e+00    |
| 0.00714 |    3.9823233223e-07    |    8.8258502792e+01    |    8.3156345219e+01    |
| 0.01429 |    3.9819971600e-07    |    1.6835452114e+02    |    1.6631392142e+02    |
| 0.02143 |    3.9814605242e-07    |    2.5078538828e+02    |    2.4947387234e+02    |
| 0.02857 |    3.9807119135e-07    |    3.3360836718e+02    |    3.3263721314e+02    |
| 0.03571 |    3.9797508212e-07    |    4.1657690311e+02    |    4.1580478299e+02    |
| 0.04286 |    3.9785770117e-07    |    4.9961818653e+02    |    4.9897718097e+02    |
| 0.05000 |    3.9771903544e-07    |    5.8270260261e+02    |    5.8215470464e+02    |
| 0.05714 |    3.9755907705e-07    |    6.6581552579e+02    |    6.6533728913e+02    |
| 0.06429 |    3.9737782114e-07    |    7.4894850591e+02    |    7.4852444652e+02    |
| 0.07143 |    3.9717526502e-07    |    8.3209584106e+02    |    8.3171520524e+02    |
| 0.07857 |    3.9695140793e-07    |    9.1525302409e+02    |    9.1490804951e+02    |
| 0.08571 |    3.9670625095e-07    |    9.9841594792e+02    |    9.9810085893e+02    |
| 0.09286 |    3.9643979716e-07    |    1.0815804545e+03    |    1.0812908481e+03    |
| 0.10000 |    3.9615205191e-07    |    1.1647420530e+03    |    1.1644745062e+03    |
| 0.10714 |    3.9584302309e-07    |    1.2478957282e+03    |    1.2476475373e+03    |
| 0.11429 |    3.9551272150e-07    |    1.3310357982e+03    |    1.3308048000e+03    |
| 0.12143 |    3.9516116132e-07    |    1.4141558021e+03    |    1.4139402480e+03    |
| 0.12857 |    3.9478836050e-07    |    1.4972484055e+03    |    1.4970468710e+03    |
| 0.13571 |    3.9439434131e-07    |    1.5803053177e+03    |    1.5801166354e+03    |
| 0.14286 |    3.9397913083e-07    |    1.6633172170e+03    |    1.6631404266e+03    |
| 0.15000 |    3.9354276155e-07    |    1.7462736805e+03    |    1.7461079906e+03    |
| 0.15714 |    3.9308527193e-07    |    1.8291631189e+03    |    1.8290078777e+03    |
| 0.16429 |    3.9260670706e-07    |    1.9119727140e+03    |    1.9118273860e+03    |
| 0.17143 |    3.9210711928e-07    |    1.9946883589e+03    |    1.9945525066e+03    |
| 0.17857 |    3.9158656888e-07    |    2.0772946004e+03    |    2.0771678696e+03    |
| 0.18571 |    3.9104512481e-07    |    2.1597745842e+03    |    2.1596566919e+03    |
| 0.19286 |    3.9048286541e-07    |    2.2421100013e+03    |    2.2420007261e+03    |
| 0.20000 |    3.8989987915e-07    |    2.3242810380e+03    |    2.3241802115e+03    |
| 0.20714 |    3.8929626545e-07    |    2.4062663268e+03    |    2.4061738272e+03    |
| 0.21429 |    3.8867213541e-07    |    2.4880429008e+03    |    2.4879586468e+03    |
| 0.22143 |    3.8802761270e-07    |    2.5695861510e+03    |    2.5695100968e+03    |
| 0.22857 |    3.8736283434e-07    |    2.6508697855e+03    |    2.6508019166e+03    |
| 0.23571 |    3.8667795157e-07    |    2.7318657930e+03    |    2.7318061223e+03    |
| 0.24286 |    3.8597313069e-07    |    2.8125444092e+03    |    2.8124929735e+03    |
| 0.25000 |    3.8524855397e-07    |    2.8928740873e+03    |    2.8928309444e+03    |
| 0.25714 |    3.8450442044e-07    |    2.9728214727e+03    |    2.9727866984e+03    |
| 0.26429 |    3.8374094686e-07    |    3.0523513817e+03    |    3.0523250676e+03    |
| 0.27143 |    3.8295836851e-07    |    3.1314267859e+03    |    3.1314090365e+03    |
| 0.27857 |    3.8215694009e-07    |    3.2100088011e+03    |    3.2099997319e+03    |
| 0.28571 |    3.8133693661e-07    |    3.2880566822e+03    |    3.2880564172e+03    |
| 0.29286 |    3.8049865416e-07    |    3.3655278244e+03    |    3.3655364940e+03    |
| 0.30000 |    3.7964241082e-07    |    3.4423777702e+03    |    3.4423955093e+03    |
| 0.30714 |    3.7876854738e-07    |    3.5185602240e+03    |    3.5185871699e+03    |
| 0.31429 |    3.7787742820e-07    |    3.5940270737e+03    |    3.5940633639e+03    |
| 0.32143 |    3.7696944186e-07    |    3.6687284205e+03    |    3.6687741906e+03    |
| 0.32857 |    3.7604500195e-07    |    3.7426126162e+03    |    3.7426679981e+03    |
| 0.33571 |    3.7510454768e-07    |    3.8156263103e+03    |    3.8156914299e+03    |
| 0.34286 |    3.7414854448e-07    |    3.8877145050e+03    |    3.8877894803e+03    |
| 0.35000 |    3.7317748459e-07    |    3.9588206213e+03    |    3.9589055598e+03    |
| 0.35714 |    3.7219188751e-07    |    4.0288865735e+03    |    4.0289815703e+03    |
| 0.36429 |    3.7119230041e-07    |    4.0978528553e+03    |    4.0979579911e+03    |
| 0.37143 |    3.7017929853e-07    |    4.1656586367e+03    |    4.1657739751e+03    |
| 0.37857 |    3.6915348534e-07    |    4.2322418713e+03    |    4.2323674565e+03    |
