Число узлов n = 501
--------------------------------------------------------------------------------------
|    x    |          u(z)          |          f(z)          |     f(z) integral      |
--------------------------------------------------------------------------------------
| 0.00000 |    3.9258289192e-07    |    0.0000000000e+00    |    0.0000000000e+00    |
| 0.00200 |    3.9258205445e-07    |    2.3344585367e+01    |    2.3344586874e+01    |
| 0.00400 |    3.9257954205e-07    |    4.6689194717e+01    |    4.6689200749e+01    |
| 0.00600 |    3.9257535470e-07    |    7.0033858791e+01    |    7.0033868519e+01    |
| 0.00800 |    3.9256949241e-07    |    9.3378603546e+01    |    9.3378616874e+01    |
| 0.01000 |    3.9256195516e-07    |    1.1672345525e+02    |    1.1672347219e+02    |
| 0.01200 |    3.9255274296e-07    |    1.4006843983e+02    |    1.4006846042e+02    |
| 0.01400 |    3.9254185578e-07    |    1.6341358268e+02    |    1.6341360701e+02    |
| 0.01600 |    3.9252929362e-07    |    1.8675890861e+02    |    1.8675893676e+02    |
| 0.01800 |    3.9251505646e-07    |    2.1010444168e+02    |    2.1010447378e+02    |
| 0.02000 |    3.9249914429e-07    |    2.3345020512e+02    |    2.3345024129e+02    |
| 0.02200 |    3.9248155710e-07    |    2.5679622123e+02    |    2.5679626163e+02    |
| 0.02400 |    3.9246229486e-07    |    2.8014251128e+02    |    2.8014255606e+02    |
| 0.02600 |    3.9244135755e-07    |    3.0348909537e+02    |    3.0348914471e+02    |
| 0.02800 |    3.9241874517e-07    |    3.2683599236e+02    |    3.2683604646e+02    |
| 0.03000 |    3.9239445768e-07    |    3.5018321976e+02    |    3.5018327883e+02    |
| 0.03200 |    3.9236849507e-07    |    3.7353079363e+02    |    3.7353085789e+02    |
| 0.03400 |    3.9234085731e-07    |    3.9687872844e+02    |    3.9687879813e+02    |
| 0.03600 |    3.9231154439e-07    |    4.2022703703e+02    |    4.2022711241e+02    |
| 0.03800 |    3.9228055628e-07    |    4.4357573045e+02    |    4.4357581178e+02    |
| 0.04000 |    3.9224789297e-07    |    4.6692481786e+02    |    4.6692490543e+02    |
| 0.04200 |    3.9221355444e-07    |    4.9027430647e+02    |    4.9027440058e+02    |
| 0.04400 |    3.9217754067e-07    |    5.1362420140e+02    |    5.1362430236e+02    |
| 0.04600 |    3.9213985163e-07    |    5.3697450556e+02    |    5.3697461371e+02    |
| 0.04800 |    3.9210048733e-07    |    5.6032521960e+02    |    5.6032533528e+02    |
| 0.05000 |    3.9205944774e-07    |    5.8367634175e+02    |    5.8367646531e+02    |
| 0.05200 |    3.9201673285e-07    |    6.0702786775e+02    |    6.0702799958e+02    |
| 0.05400 |    3.9197234266e-07    |    6.3037979074e+02    |    6.3037993122e+02    |
| 0.05600 |    3.9192627716e-07    |    6.5373210113e+02    |    6.5373225068e+02    |
| 0.05800 |    3.9187853636e-07    |    6.7708478656e+02    |    6.7708494559e+02    |
| 0.06000 |    3.9182912025e-07    |    7.0043783170e+02    |    7.0043800065e+02    |
| 0.06200 |    3.9177802884e-07    |    7.2379121824e+02    |    7.2379139755e+02    |
| 0.06400 |    3.9172526215e-07    |    7.4714492473e+02    |    7.4714511487e+02    |
| 0.06600 |    3.9167082019e-07    |    7.7049892648e+02    |    7.7049912793e+02    |
| 0.06800 |    3.9161470299e-07    |    7.9385319548e+02    |    7.9385340874e+02    |
| 0.07000 |    3.9155691058e-07    |    8.1720770029e+02    |    8.1720792586e+02    |
| 0.07200 |    3.9149744299e-07    |    8.4056240589e+02    |    8.4056264431e+02    |
| 0.07400 |    3.9143630028e-07    |    8.6391727367e+02    |    8.6391752546e+02    |
| 0.07600 |    3.9137348248e-07    |    8.8727226121e+02    |    8.8727252694e+02    |
