Число узлов n = 6001
--------------------------------------------------------------------------------------
|    x    |          u(z)          |          f(z)          |     f(z) integral      |
--------------------------------------------------------------------------------------
| 0.00000 |    3.9205316769e-07    |    0.0000000000e+00    |    0.0000000000e+00    |
| 0.00017 |    3.9205316083e-07    |   -0.0000000000e+00    |    1.9458565809e+00    |
| 0.00033 |    3.9205316769e-07    |    5.3141385548e-01    |    3.8917131556e+00    |
| 0.00050 |    3.9205315447e-07    |    3.3259360835e+00    |    5.8375697402e+00    |
| 0.00067 |    3.9205312792e-07    |    5.4738559509e+00    |    7.7834263555e+00    |
| 0.00083 |    3.9205308901e-07    |    7.5140087937e+00    |    9.7292830180e+00    |
| 0.00100 |    3.9205303807e-07    |    9.5149736759e+00    |    1.1675139744e+01    |
| 0.00117 |    3.9205297523e-07    |    1.1497098234e+01    |    1.3620996549e+01    |
| 0.00133 |    3.9205290059e-07    |    1.3468672260e+01    |    1.5566853448e+01    |
| 0.00150 |    3.9205281417e-07    |    1.5433729852e+01    |    1.7512710458e+01    |
| 0.00167 |    3.9205271603e-07    |    1.7394475853e+01    |    1.9458567595e+01    |
| 0.00183 |    3.9205260617e-07    |    1.9352219188e+01    |    2.1404424873e+01    |
| 0.00200 |    3.9205248461e-07    |    2.1307786738e+01    |    2.3350282309e+01    |
| 0.00217 |    3.9205235137e-07    |    2.3261726851e+01    |    2.5296139919e+01    |
| 0.00233 |    3.9205220645e-07    |    2.5214417691e+01    |    2.7241997717e+01    |
| 0.00250 |    3.9205204985e-07    |    2.7166128539e+01    |    2.9187855720e+01    |
| 0.00267 |    3.9205188159e-07    |    2.9117056420e+01    |    3.1133713943e+01    |
| 0.00283 |    3.9205170167e-07    |    3.1067348850e+01    |    3.3079572402e+01    |
| 0.00300 |    3.9205151009e-07    |    3.3017118439e+01    |    3.5025431113e+01    |
| 0.00317 |    3.9205130685e-07    |    3.4966452677e+01    |    3.6971290090e+01    |
| 0.00333 |    3.9205109196e-07    |    3.6915420568e+01    |    3.8917149351e+01    |
| 0.00350 |    3.9205086541e-07    |    3.8864077275e+01    |    4.0863008909e+01    |
| 0.00367 |    3.9205062722e-07    |    4.0812467427e+01    |    4.2808868782e+01    |
| 0.00383 |    3.9205037737e-07    |    4.2760627508e+01    |    4.4754728984e+01    |
| 0.00400 |    3.9205011588e-07    |    4.4708587635e+01    |    4.6700589531e+01    |
| 0.00417 |    3.9204984274e-07    |    4.6656372915e+01    |    4.8646450438e+01    |
| 0.00433 |    3.9204955796e-07    |    4.8604004421e+01    |    5.0592311721e+01    |
| 0.00450 |    3.9204926153e-07    |    5.0551499990e+01    |    5.2538173397e+01    |
| 0.00467 |    3.9204895346e-07    |    5.2498874811e+01    |    5.4484035479e+01    |
| 0.00483 |    3.9204863375e-07    |    5.4446141883e+01    |    5.6429897983e+01    |
| 0.00500 |    3.9204830239e-07    |    5.6393312419e+01    |    5.8375760926e+01    |
| 0.00517 |    3.9204795939e-07    |    5.8340396163e+01    |    6.0321624323e+01    |
