Число узлов n = 601
--------------------------------------------------------------------------------------
|    x    |          u(z)          |          f(z)          |     f(z) integral      |
--------------------------------------------------------------------------------------
| 0.00000 |    3.9204749764e-07    |    0.0000000000e+00    |    0.0000000000e+00    |
| 0.00167 |    3.9204681081e-07    |   -4.4270977193e-10    |    1.9458622758e+01    |
| 0.00333 |    3.9204749764e-07    |    5.3141733773e+00    |    3.8917239341e+01    |
| 0.00500 |    3.9204617534e-07    |    3.3259465412e+01    |    5.8375865657e+01    |
| 0.00667 |    3.9204352045e-07    |    5.4738754137e+01    |    7.7834522524e+01    |
| 0.00833 |    3.9203962964e-07    |    7.5140415900e+01    |    9.7293226131e+01    |
| 0.01000 |    3.9203453511e-07    |    9.5150257949e+01    |    1.1675199203e+02    |
| 0.01167 |    3.9202825150e-07    |    1.1497177248e+02    |    1.3621083544e+02    |
| 0.01333 |    3.9202078670e-07    |    1.3468787273e+02    |    1.5566977124e+02    |
| 0.01500 |    3.9201214543e-07    |    1.5433891448e+02    |    1.7512881400e+02    |
| 0.01667 |    3.9200233074e-07    |    1.7394696112e+02    |    1.9458797793e+02    |
| 0.01833 |    3.9199134473e-07    |    1.9352511628e+02    |    2.1404727684e+02    |
| 0.02000 |    3.9197918887e-07    |    2.1308166270e+02    |    2.3350672411e+02    |
| 0.02167 |    3.9196586427e-07    |    2.3262209752e+02    |    2.5296633266e+02    |
| 0.02333 |    3.9195137176e-07    |    2.5215021534e+02    |    2.7242611490e+02    |
| 0.02500 |    3.9193571199e-07    |    2.7166872187e+02    |    2.9188608268e+02    |
| 0.02667 |    3.9191888545e-07    |    2.9117959954e+02    |    3.1134624727e+02    |
| 0.02833 |    3.9190089256e-07    |    3.1068433494e+02    |    3.3080661931e+02    |
| 0.03000 |    3.9188173365e-07    |    3.3018406536e+02    |    3.5026720876e+02    |
| 0.03167 |    3.9186140898e-07    |    3.4967967609e+02    |    3.6972802488e+02    |
| 0.03333 |    3.9183991880e-07    |    3.6917186689e+02    |    3.8918907615e+02    |
| 0.03500 |    3.9181726327e-07    |    3.8866119833e+02    |    4.0865037028e+02    |
| 0.03667 |    3.9179344257e-07    |    4.0814812484e+02    |    4.2811191412e+02    |
| 0.03833 |    3.9176845683e-07    |    4.2763301873e+02    |    4.4757371366e+02    |
| 0.04000 |    3.9174230617e-07    |    4.4711618786e+02    |    4.6703577394e+02    |
| 0.04167 |    3.9171499068e-07    |    4.6659788891e+02    |    4.8649809907e+02    |
| 0.04333 |    3.9168651045e-07    |    4.8607833740e+02    |    5.0596069213e+02    |
| 0.04500 |    3.9165686557e-07    |    5.0555771540e+02    |    5.2542355517e+02    |
| 0.04667 |    3.9162605609e-07    |    5.2503617755e+02    |    5.4488668912e+02    |
| 0.04833 |    3.9159408207e-07    |    5.4451385571e+02    |    5.6435009382e+02    |
| 0.05000 |    3.9156094357e-07    |    5.6399086270e+02    |    5.8381376791e+02    |
| 0.05167 |    3.9152664064e-07    |    5.8346729523e+02    |    6.0327770883e+02    |
| 0.05333 |    3.9149117332e-07    |    6.0294323629e+02    |    6.2274191275e+02    |
| 0.05500 |    3.9145454165e-07    |    6.2241875706e+02    |    6.4220637454e+02    |
| 0.05667 |    3.9141674566e-07    |    6.4189391851e+02    |    6.6167108775e+02    |
| 0.05833 |    3.9137778540e-07    |    6.6136877262e+02    |    6.8113604454e+02    |
| 0.06000 |    3.9133766090e-07    |    6.8084336348e+02    |    7.0060123563e+02    |
| 0.06167 |    3.9129637218e-07    |    7.0031772813e+02    |    7.2006665029e+02    |
| 0.06333 |    3.9125391929e-07    |    7.1979189732e+02    |    7.3953227628e+02    |
| 0.06500 |    3.9121030226e-07    |    7.3926589607e+02    |    7.5899809981e+02    |
| 0.06667 |    3.9116552112e-07    |    7.5873974420e+02    |    7.7846410550e+02    |
| 0.06833 |    3.9111957591e-07    |    7.7821345674e+02    |    7.9793027634e+02    |
| 0.07000 |    3.9107246666e-07    |    7.9768704427e+02    |    8.1739659362e+02    |
| 0.07167 |    3.9102419340e-07    |    8.1716051323e+02    |    8.3686303696e+02    |
| 0.07333 |    3.9097475619e-07    |    8.3663386620e+02    |    8.5632958418e+02    |
| 0.07500 |    3.9092415506e-07    |    8.5610710203e+02    |    8.7579621131e+02    |
| 0.07667 |    3.9087239005e-07    |    8.7558021612e+02    |    8.9526289256e+02    |
| 0.07833 |    3.9081946121e-07    |    8.9505320045e+02    |    9.1472960022e+02    |
| 0.08000 |    3.9076536860e-07    |    9.1452604382e+02    |    9.3419630468e+02    |
| 0.08167 |    3.9071011227e-07    |    9.3399873187e+02    |    9.5366297436e+02    |
