Число узлов n = 901
--------------------------------------------------------------------------------------
|    x    |          u(z)          |          f(z)          |     f(z) integral      |
--------------------------------------------------------------------------------------
| 0.00000 |    3.9205334616e-07    |    0.0000000000e+00    |    0.0000000000e+00    |
| 0.00111 |    3.9205304090e-07    |    1.3753744120e+01    |    1.2972377923e+01    |
| 0.00222 |    3.9205224970e-07    |    2.6257306105e+01    |    2.5944760574e+01    |
| 0.00333 |    3.9205094765e-07    |    3.9118073700e+01    |    3.8917152578e+01    |
| 0.00444 |    3.9204913119e-07    |    5.2038387939e+01    |    5.1889558518e+01    |
| 0.00556 |    3.9204679913e-07    |    6.4980368957e+01    |    6.4861982982e+01    |
| 0.00667 |    3.9204395093e-07    |    7.7932780882e+01    |    7.7834430543e+01    |
| 0.00778 |    3.9204058629e-07    |    9.0891048823e+01    |    9.0806905747e+01    |
| 0.00889 |    3.9203670505e-07    |    1.0385294880e+02    |    1.0377941311e+02    |
| 0.01000 |    3.9203230708e-07    |    1.1681726728e+02    |    1.1675195711e+02    |
| 0.01111 |    3.9202739232e-07    |    1.2978328563e+02    |    1.2972454219e+02    |
| 0.01222 |    3.9202196070e-07    |    1.4275055147e+02    |    1.4269717272e+02    |
| 0.01333 |    3.9201601217e-07    |    1.5571876621e+02    |    1.5566985305e+02    |
| 0.01444 |    3.9200954672e-07    |    1.6868772524e+02    |    1.6864258743e+02    |
| 0.01556 |    3.9200256431e-07    |    1.8165728400e+02    |    1.8161538008e+02    |
| 0.01667 |    3.9199506491e-07    |    1.9462733778e+02    |    1.9458823513e+02    |
| 0.01778 |    3.9198704852e-07    |    2.0759780918e+02    |    2.0756115664e+02    |
| 0.01889 |    3.9197851512e-07    |    2.2056863997e+02    |    2.2053414857e+02    |
| 0.02000 |    3.9196946469e-07    |    2.3353978569e+02    |    2.3350721481e+02    |
| 0.02111 |    3.9195989722e-07    |    2.4651121203e+02    |    2.4648035916e+02    |
| 0.02222 |    3.9194981270e-07    |    2.5948289223e+02    |    2.5945358530e+02    |
| 0.02333 |    3.9193921113e-07    |    2.7245480522e+02    |    2.7242689684e+02    |
| 0.02444 |    3.9192809249e-07    |    2.8542693434e+02    |    2.8540029723e+02    |
| 0.02556 |    3.9191645677e-07    |    2.9839926630e+02    |    2.9837378985e+02    |
| 0.02667 |    3.9190430398e-07    |    3.1137179051e+02    |    3.1134737793e+02    |
| 0.02778 |    3.9189163409e-07    |    3.2434449842e+02    |    3.2432106460e+02    |
| 0.02889 |    3.9187844711e-07    |    3.3731738318e+02    |    3.3729485283e+02    |
| 0.03000 |    3.9186474303e-07    |    3.5029043927e+02    |    3.5026874546e+02    |
| 0.03111 |    3.9185052184e-07    |    3.6326366219e+02    |    3.6324274519e+02    |
| 0.03222 |    3.9183578354e-07    |    3.7623704831e+02    |    3.7621685459e+02    |
| 0.03333 |    3.9182052812e-07    |    3.8921059466e+02    |    3.8919107604e+02    |
| 0.03444 |    3.9180475557e-07    |    4.0218429881e+02    |    4.0216541178e+02    |
| 0.03556 |    3.9178846590e-07    |    4.1515815875e+02    |    4.1513986389e+02    |
| 0.03667 |    3.9177165909e-07    |    4.2813217278e+02    |    4.2811443426e+02    |
| 0.03778 |    3.9175433514e-07    |    4.4110633947e+02    |    4.4108912463e+02    |
| 0.03889 |    3.9173649405e-07    |    4.5408065755e+02    |    4.5406393653e+02    |
| 0.04000 |    3.9171813581e-07    |    4.6705512588e+02    |    4.6703887132e+02    |
| 0.04111 |    3.9169926041e-07    |    4.8002974340e+02    |    4.8001393016e+02    |
| 0.04222 |    3.9167986786e-07    |    4.9300450910e+02    |    4.9298911402e+02    |
| 0.04333 |    3.9165995815e-07    |    5.0597942194e+02    |    5.0596442366e+02    |
| 0.04444 |    3.9163953128e-07    |    5.1895448087e+02    |    5.1893985962e+02    |
| 0.04556 |    3.9161858723e-07    |    5.3192968477e+02    |    5.3191542225e+02    |
| 0.04667 |    3.9159712602e-07    |    5.4490503245e+02    |    5.4489111166e+02    |
| 0.04778 |    3.9157514763e-07    |    5.5788052261e+02    |    5.5786692773e+02    |
| 0.04889 |    3.9155265207e-07    |    5.7085615381e+02    |    5.7084287014e+02    |
| 0.05000 |    3.9152963933e-07    |    5.8383192451e+02    |    5.8381893828e+02    |
| 0.05111 |    3.9150610940e-07    |    5.9680783297e+02    |    5.9679513136e+02    |
| 0.05222 |    3.9148206229e-07    |    6.0978387731e+02    |    6.0977144828e+02    |
| 0.05333 |    3.9145749800e-07    |    6.2276005544e+02    |    6.2274788774e+02    |
| 0.05444 |    3.9143241652e-07    |    6.3573636509e+02    |    6.3572444814e+02    |
| 0.05556 |    3.9140681785e-07    |    6.4871280377e+02    |    6.4870112764e+02    |
| 0.05667 |    3.9138070200e-07    |    6.6168936878e+02    |    6.6167792413e+02    |
| 0.05778 |    3.9135406896e-07    |    6.7466605718e+02    |    6.7465483520e+02    |
| 0.05889 |    3.9132691873e-07    |    6.8764286580e+02    |    6.8763185818e+02    |
| 0.06000 |    3.9129925132e-07    |    7.0061979121e+02    |    7.0060899012e+02    |
| 0.06111 |    3.9127106672e-07    |    7.1359682972e+02    |    7.1358622776e+02    |
| 0.06222 |    3.9124236493e-07    |    7.2657397739e+02    |    7.2656356754e+02    |
| 0.06333 |    3.9121314597e-07    |    7.3955122998e+02    |    7.3954100562e+02    |
| 0.06444 |    3.9118340982e-07    |    7.5252858299e+02    |    7.5251853783e+02    |
| 0.06556 |    3.9115315650e-07    |    7.6550603162e+02    |    7.6549615968e+02    |
| 0.06667 |    3.9112238601e-07    |    7.7848357077e+02    |    7.7847386639e+02    |
| 0.06778 |    3.9109109836e-07    |    7.9146119502e+02    |    7.9145165284e+02    |
| 0.06889 |    3.9105929354e-07    |    8.0443889868e+02    |    8.0442951355e+02    |
| 0.07000 |    3.9102697156e-07    |    8.1741667569e+02    |    8.1740744276e+02    |
| 0.07111 |    3.9099413243e-07    |    8.3039451970e+02    |    8.3038543432e+02    |
| 0.07222 |    3.9096077617e-07    |    8.4337242401e+02    |    8.4336348176e+02    |
| 0.07333 |    3.9092690276e-07    |    8.5635038158e+02    |    8.5634157824e+02    |
| 0.07444 |    3.9089251223e-07    |    8.6932838503e+02    |    8.6931971658e+02    |
| 0.07556 |    3.9085760459e-07    |    8.8230642663e+02    |    8.8229788921e+02    |
| 0.07667 |    3.9082217983e-07    |    8.9528449827e+02    |    8.9527608822e+02    |
| 0.07778 |    3.9078623799e-07    |    9.0826259151e+02    |    9.0825430531e+02    |
| 0.07889 |    3.9074977905e-07    |    9.2124069752e+02    |    9.2123253179e+02    |
| 0.08000 |    3.9071280305e-07    |    9.3421880707e+02    |    9.3421075861e+02    |
| 0.08111 |    3.9067531000e-07    |    9.4719691058e+02    |    9.4718897631e+02    |
| 0.08222 |    3.9063729990e-07    |    9.6017499808e+02    |    9.6016717503e+02    |
| 0.08333 |    3.9059877277e-07    |    9.7315305917e+02    |    9.7314534451e+02    |
| 0.08444 |    3.9055972864e-07    |    9.8613108309e+02    |    9.8612347410e+02    |
| 0.08556 |    3.9052016751e-07    |    9.9910905865e+02    |    9.9910155272e+02    |
| 0.08667 |    3.9048008942e-07    |    1.0120869743e+03    |    1.0120795689e+03    |
| 0.08778 |    3.9043949437e-07    |    1.0250648179e+03    |    1.0250575106e+03    |
| 0.08889 |    3.9039838239e-07    |    1.0380425771e+03    |    1.0380353657e+03    |
| 0.09000 |    3.9035675350e-07    |    1.0510202390e+03    |    1.0510131212e+03    |
| 0.09111 |    3.9031460774e-07    |    1.0639977903e+03    |    1.0639907639e+03    |
| 0.09222 |    3.9027194511e-07    |    1.0769752172e+03    |    1.0769682803e+03    |
| 0.09333 |    3.9022876565e-07    |    1.0899525056e+03    |    1.0899456560e+03    |
| 0.09444 |    3.9018506939e-07    |    1.1029296407e+03    |    1.1029228767e+03    |
| 0.09556 |    3.9014085635e-07    |    1.1159066076e+03    |    1.1158999272e+03    |
| 0.09667 |    3.9009612656e-07    |    1.1288833905e+03    |    1.1288767920e+03    |
| 0.09778 |    3.9005088007e-07    |    1.1418599735e+03    |    1.1418534552e+03    |
| 0.09889 |    3.9000511690e-07    |    1.1548363399e+03    |    1.1548299002e+03    |
| 0.10000 |    3.8995883708e-07    |    1.1678124729e+03    |    1.1678061101e+03    |
| 0.10111 |    3.8991204066e-07    |    1.1807883550e+03    |    1.1807820675e+03    |
| 0.10222 |    3.8986472766e-07    |    1.1937639680e+03    |    1.1937577545e+03    |
| 0.10333 |    3.8981689815e-07    |    1.2067392936e+03    |    1.2067331525e+03    |
| 0.10444 |    3.8976855214e-07    |    1.2197143127e+03    |    1.2197082427e+03    |
| 0.10556 |    3.8971968969e-07    |    1.2326890059e+03    |    1.2326830057e+03    |
| 0.10667 |    3.8967031085e-07    |    1.2456633531e+03    |    1.2456574213e+03    |
| 0.10778 |    3.8962041565e-07    |    1.2586373338e+03    |    1.2586314693e+03    |
| 0.10889 |    3.8957000415e-07    |    1.2716109269e+03    |    1.2716051284e+03    |
| 0.11000 |    3.8951907640e-07    |    1.2845841109e+03    |    1.2845783772e+03    |
| 0.11111 |    3.8946763246e-07    |    1.2975568636e+03    |    1.2975511936e+03    |
| 0.11222 |    3.8941567237e-07    |    1.3105291623e+03    |    1.3105235549e+03    |
| 0.11333 |    3.8936319620e-07    |    1.3235009838e+03    |    1.3234954380e+03    |
| 0.11444 |    3.8931020399e-07    |    1.3364723043e+03    |    1.3364668191e+03    |
| 0.11556 |    3.8925669583e-07    |    1.3494430995e+03    |    1.3494376738e+03    |
| 0.11667 |    3.8920267176e-07    |    1.3624133445e+03    |    1.3624079774e+03    |
| 0.11778 |    3.8914813186e-07    |    1.3753830139e+03    |    1.3753777044e+03    |
| 0.11889 |    3.8909307618e-07    |    1.3883520815e+03    |    1.3883468288e+03    |
| 0.12000 |    3.8903750481e-07    |    1.4013205207e+03    |    1.4013153239e+03    |
| 0.12111 |    3.8898141781e-07    |    1.4142883044e+03    |    1.4142831626e+03    |
| 0.12222 |    3.8892481526e-07    |    1.4272554046e+03    |    1.4272503171e+03    |
| 0.12333 |    3.8886769724e-07    |    1.4402217931e+03    |    1.4402167590e+03    |
| 0.12444 |    3.8881006382e-07    |    1.4531874408e+03    |    1.4531824594e+03    |
| 0.12556 |    3.8875191509e-07    |    1.4661523181e+03    |    1.4661473886e+03    |
| 0.12667 |    3.8869325114e-07    |    1.4791163948e+03    |    1.4791115165e+03    |
| 0.12778 |    3.8863407204e-07    |    1.4920796400e+03    |    1.4920748121e+03    |
| 0.12889 |    3.8857437790e-07    |    1.5050420222e+03    |    1.5050372442e+03    |
| 0.13000 |    3.8851416881e-07    |    1.5180035094e+03    |    1.5179987805e+03    |
| 0.13111 |    3.8845344485e-07    |    1.5309640688e+03    |    1.5309593884e+03    |
| 0.13222 |    3.8839220614e-07    |    1.5439236670e+03    |    1.5439190345e+03    |
| 0.13333 |    3.8833045277e-07    |    1.5568822700e+03    |    1.5568776849e+03    |
| 0.13444 |    3.8826818484e-07    |    1.5698398432e+03    |    1.5698353048e+03    |
| 0.13556 |    3.8820540247e-07    |    1.5827963512e+03    |    1.5827918589e+03    |
| 0.13667 |    3.8814210577e-07    |    1.5957517580e+03    |    1.5957473113e+03    |
| 0.13778 |    3.8807829484e-07    |    1.6087060271e+03    |    1.6087016254e+03    |
| 0.13889 |    3.8801396981e-07    |    1.6216591209e+03    |    1.6216547638e+03    |
| 0.14000 |    3.8794913080e-07    |    1.6346110016e+03    |    1.6346066886e+03    |
| 0.14111 |    3.8788377793e-07    |    1.6475616305e+03    |    1.6475573610e+03    |
| 0.14222 |    3.8781791133e-07    |    1.6605109682e+03    |    1.6605067418e+03    |
| 0.14333 |    3.8775153113e-07    |    1.6734589745e+03    |    1.6734547908e+03    |
| 0.14444 |    3.8768463746e-07    |    1.6864056089e+03    |    1.6864014673e+03    |
| 0.14556 |    3.8761723045e-07    |    1.6993508297e+03    |    1.6993467299e+03    |
| 0.14667 |    3.8754931026e-07    |    1.7122945949e+03    |    1.7122905364e+03    |
| 0.14778 |    3.8748087703e-07    |    1.7252368615e+03    |    1.7252328439e+03    |
| 0.14889 |    3.8741193090e-07    |    1.7381775859e+03    |    1.7381736089e+03    |
| 0.15000 |    3.8734247202e-07    |    1.7511167238e+03    |    1.7511127869e+03    |
| 0.15111 |    3.8727250056e-07    |    1.7640542302e+03    |    1.7640503331e+03    |
| 0.15222 |    3.8720201667e-07    |    1.7769900592e+03    |    1.7769862015e+03    |
| 0.15333 |    3.8713102051e-07    |    1.7899241643e+03    |    1.7899203457e+03    |
| 0.15444 |    3.8705951226e-07    |    1.8028564983e+03    |    1.8028527184e+03    |
| 0.15556 |    3.8698749208e-07    |    1.8157870131e+03    |    1.8157832716e+03    |
| 0.15667 |    3.8691496015e-07    |    1.8287156599e+03    |    1.8287119566e+03    |
| 0.15778 |    3.8684191665e-07    |    1.8416423893e+03    |    1.8416387237e+03    |
| 0.15889 |    3.8676836176e-07    |    1.8545671508e+03    |    1.8545635228e+03    |
| 0.16000 |    3.8669429568e-07    |    1.8674898935e+03    |    1.8674863027e+03    |
| 0.16111 |    3.8661971860e-07    |    1.8804105655e+03    |    1.8804070116e+03    |
| 0.16222 |    3.8654463070e-07    |    1.8933291142e+03    |    1.8933255969e+03    |
| 0.16333 |    3.8646903220e-07    |    1.9062454861e+03    |    1.9062420053e+03    |
