Число узлов n = 5001
--------------------------------------------------------------------------------------
|    x    |          u(z)          |          f(z)          |     f(z) integral      |
--------------------------------------------------------------------------------------
| 0.00000 |    3.9205324484e-07    |    0.0000000000e+00    |    0.0000000000e+00    |
| 0.00020 |    3.9205323495e-07    |    2.4756738514e+00    |    2.3350278173e+00    |
| 0.00040 |    3.9205320931e-07    |    4.7263140609e+00    |    4.6700556622e+00    |
| 0.00060 |    3.9205316713e-07    |    7.0412496637e+00    |    7.0050835617e+00    |
| 0.00080 |    3.9205310827e-07    |    9.3669012409e+00    |    9.3401115426e+00    |
| 0.00100 |    3.9205303271e-07    |    1.1696449612e+01    |    1.1675139632e+01    |
| 0.00120 |    3.9205294043e-07    |    1.4027871528e+01    |    1.4010167857e+01    |
| 0.00140 |    3.9205283142e-07    |    1.6360342713e+01    |    1.6345196244e+01    |
| 0.00160 |    3.9205270567e-07    |    1.8693462063e+01    |    1.8680224820e+01    |
| 0.00180 |    3.9205256317e-07    |    2.1027010358e+01    |    2.1015253613e+01    |
| 0.00200 |    3.9205240393e-07    |    2.3360857489e+01    |    2.3350282649e+01    |
| 0.00220 |    3.9205222795e-07    |    2.5694921269e+01    |    2.5685311956e+01    |
| 0.00240 |    3.9205203522e-07    |    2.8029147179e+01    |    2.8020341560e+01    |
| 0.00260 |    3.9205182574e-07    |    3.0363497662e+01    |    3.0355371488e+01    |
| 0.00280 |    3.9205159951e-07    |    3.2697945968e+01    |    3.2690401767e+01    |
| 0.00300 |    3.9205135654e-07    |    3.5032472517e+01    |    3.5025432425e+01    |
| 0.00320 |    3.9205109681e-07    |    3.7367062673e+01    |    3.7360463488e+01    |
| 0.00340 |    3.9205082033e-07    |    3.9701705276e+01    |    3.9695494983e+01    |
| 0.00360 |    3.9205052710e-07    |    4.2036391663e+01    |    4.2030526937e+01    |
| 0.00380 |    3.9205021712e-07    |    4.4371114992e+01    |    4.4365559377e+01    |
| 0.00400 |    3.9204989039e-07    |    4.6705869800e+01    |    4.6700592329e+01    |
| 0.00420 |    3.9204954691e-07    |    4.9040651695e+01    |    4.9035625821e+01    |
| 0.00440 |    3.9204918667e-07    |    5.1375457070e+01    |    5.1370659880e+01    |
| 0.00460 |    3.9204880969e-07    |    5.3710282937e+01    |    5.3705694531e+01    |
| 0.00480 |    3.9204841595e-07    |    5.6045126842e+01    |    5.6040729803e+01    |
| 0.00500 |    3.9204800545e-07    |    5.8379986733e+01    |    5.8375765721e+01    |
| 0.00520 |    3.9204757821e-07    |    6.0714860859e+01    |    6.0710802313e+01    |
| 0.00540 |    3.9204713422e-07    |    6.3049747731e+01    |    6.3045839605e+01    |
| 0.00560 |    3.9204667347e-07    |    6.5384646076e+01    |    6.5380877624e+01    |
| 0.00580 |    3.9204619597e-07    |    6.7719554811e+01    |    6.7715916396e+01    |
| 0.00600 |    3.9204570171e-07    |    7.0054473002e+01    |    7.0050955949e+01    |
| 0.00620 |    3.9204519071e-07    |    7.2389399841e+01    |    7.2385996308e+01    |
| 0.00640 |    3.9204466295e-07    |    7.4724334621e+01    |    7.4721037500e+01    |
| 0.00660 |    3.9204411844e-07    |    7.7059276713e+01    |    7.7056079552e+01    |
| 0.00680 |    3.9204355717e-07    |    7.9394225561e+01    |    7.9391122491e+01    |
| 0.00700 |    3.9204297915e-07    |    8.1729180704e+01    |    8.1726166342e+01    |
