Число узлов n = 9001
--------------------------------------------------------------------------------------
|    x    |          u(z)          |          f(z)          |     f(z) integral      |
--------------------------------------------------------------------------------------
| 0.00000 |    3.9205324276e-07    |    0.0000000000e+00    |    0.0000000000e+00    |
| 0.00011 |    3.9205323971e-07    |    1.3753743619e+00    |    1.2972376734e+00    |
| 0.00022 |    3.9205323180e-07    |    2.6257300320e+00    |    2.5944753516e+00    |
| 0.00033 |    3.9205321877e-07    |    3.9118053283e+00    |    3.8917130391e+00    |
| 0.00044 |    3.9205320061e-07    |    5.2038339178e+00    |    5.1889507406e+00    |
| 0.00056 |    3.9205317729e-07    |    6.4980273647e+00    |    6.4861884607e+00    |
| 0.00067 |    3.9205314881e-07    |    7.7932615868e+00    |    7.7834262040e+00    |
| 0.00078 |    3.9205311516e-07    |    9.0890786718e+00    |    9.0806639751e+00    |
| 0.00089 |    3.9205307635e-07    |    1.0385255813e+01    |    1.0377901779e+01    |
| 0.00100 |    3.9205303237e-07    |    1.1681671173e+01    |    1.1675139620e+01    |
| 0.00111 |    3.9205298322e-07    |    1.2978252444e+01    |    1.2972377502e+01    |
| 0.00122 |    3.9205292891e-07    |    1.4274953977e+01    |    1.4269615431e+01    |
| 0.00133 |    3.9205286942e-07    |    1.5571745457e+01    |    1.5566853411e+01    |
| 0.00144 |    3.9205280477e-07    |    1.6868606001e+01    |    1.6864091446e+01    |
| 0.00156 |    3.9205273494e-07    |    1.8165520778e+01    |    1.8161329542e+01    |
| 0.00167 |    3.9205265995e-07    |    1.9462478879e+01    |    1.9458567703e+01    |
| 0.00178 |    3.9205257979e-07    |    2.0759472155e+01    |    2.0755805933e+01    |
| 0.00189 |    3.9205249446e-07    |    2.2056494438e+01    |    2.2053044237e+01    |
| 0.00200 |    3.9205240395e-07    |    2.3353540853e+01    |    2.3350282621e+01    |
| 0.00211 |    3.9205230828e-07    |    2.4650607582e+01    |    2.4647521087e+01    |
| 0.00222 |    3.9205220744e-07    |    2.5947691603e+01    |    2.5944759642e+01    |
| 0.00233 |    3.9205210142e-07    |    2.7244790466e+01    |    2.7241998289e+01    |
| 0.00244 |    3.9205199024e-07    |    2.8541902152e+01    |    2.8539237034e+01    |
| 0.00256 |    3.9205187389e-07    |    2.9839024995e+01    |    2.9836475881e+01    |
| 0.00267 |    3.9205175236e-07    |    3.1136157646e+01    |    3.1133714834e+01    |
| 0.00278 |    3.9205162567e-07    |    3.2433298930e+01    |    3.2430953898e+01    |
| 0.00289 |    3.9205149380e-07    |    3.3730447850e+01    |    3.3728193078e+01    |
| 0.00300 |    3.9205135677e-07    |    3.5027603585e+01    |    3.5025432379e+01    |
| 0.00311 |    3.9205121456e-07    |    3.6324765415e+01    |    3.6322671805e+01    |
| 0.00322 |    3.9205106718e-07    |    3.7621932731e+01    |    3.7619911360e+01    |
| 0.00333 |    3.9205091464e-07    |    3.8919104995e+01    |    3.8917151049e+01    |
| 0.00344 |    3.9205075692e-07    |    4.0216281754e+01    |    4.0214390878e+01    |
| 0.00356 |    3.9205059403e-07    |    4.1513462604e+01    |    4.1511630850e+01    |
| 0.00367 |    3.9205042597e-07    |    4.2810647187e+01    |    4.2808870970e+01    |
| 0.00378 |    3.9205025274e-07    |    4.4107835203e+01    |    4.4106111242e+01    |
| 0.00389 |    3.9205007434e-07    |    4.5405026368e+01    |    4.5403351672e+01    |
| 0.00400 |    3.9204989077e-07    |    4.6702220415e+01    |    4.6700592264e+01    |
| 0.00411 |    3.9204970203e-07    |    4.7999417145e+01    |    4.7997833023e+01    |
| 0.00422 |    3.9204950812e-07    |    4.9296616372e+01    |    4.9295073953e+01    |
| 0.00433 |    3.9204930903e-07    |    5.0593817911e+01    |    5.0592315058e+01    |
| 0.00444 |    3.9204910478e-07    |    5.1891021622e+01    |    5.1889556344e+01    |
| 0.00456 |    3.9204889536e-07    |    5.3188227359e+01    |    5.3186797814e+01    |
| 0.00467 |    3.9204868076e-07    |    5.4485434969e+01    |    5.4484039474e+01    |
| 0.00478 |    3.9204846100e-07    |    5.5782644353e+01    |    5.5781281328e+01    |
| 0.00489 |    3.9204823606e-07    |    5.7079855418e+01    |    5.7078523381e+01    |
