Число узлов n = 71
--------------------------------------------------------------------------------------
|    x    |          u(z)          |          f(z)          |     f(z) integral      |
--------------------------------------------------------------------------------------
| 0.00000 |    3.9206086777e-07    |    0.0000000000e+00    |    0.0000000000e+00    |
| 0.01429 |    3.9201040705e-07    |    1.7683526877e+02    |    1.6679094514e+02    |
| 0.02857 |    3.9187961558e-07    |    3.3760653288e+02    |    3.3359121831e+02    |
| 0.04286 |    3.9166436843e-07    |    5.0298607832e+02    |    5.0040799999e+02    |
| 0.05714 |    3.9136407023e-07    |    6.6914992483e+02    |    6.6724453691e+02    |
| 0.07143 |    3.9097852222e-07    |    8.3560820753e+02    |    8.3409830699e+02    |
| 0.08571 |    3.9050764395e-07    |    1.0022058775e+03    |    1.0009590535e+03    |
| 0.10000 |    3.8995141660e-07    |    1.1688638454e+03    |    1.1678068419e+03    |
| 0.11429 |    3.8930987206e-07    |    1.3355216363e+03    |    1.3346101263e+03    |
| 0.12857 |    3.8858309706e-07    |    1.5021182350e+03    |    1.5013238283e+03    |
| 0.14286 |    3.8777124385e-07    |    1.6685835561e+03    |    1.6678874340e+03    |
| 0.15714 |    3.8687454505e-07    |    1.8348336306e+03    |    1.8342231195e+03    |
| 0.17143 |    3.8589333122e-07    |    2.0007673292e+03    |    2.0002339181e+03    |
| 0.18571 |    3.8482805078e-07    |    2.1662638185e+03    |    2.1658019447e+03    |
| 0.20000 |    3.8367929194e-07    |    2.3311804306e+03    |    2.3307866986e+03    |
| 0.21429 |    3.8244780626e-07    |    2.4953508092e+03    |    2.4950234678e+03    |
| 0.22857 |    3.8113453384e-07    |    2.6585832858e+03    |    2.6583218638e+03    |
| 0.24286 |    3.7974062951e-07    |    2.8206594750e+03    |    2.8204645186e+03    |
| 0.25714 |    3.7826749012e-07    |    2.9813331055e+03    |    2.9812059812e+03    |
| 0.27143 |    3.7671678228e-07    |    3.1403291125e+03    |    3.1402718545e+03    |
| 0.28571 |    3.7509047025e-07    |    3.2973430316e+03    |    3.2973582181e+03    |
| 0.30000 |    3.7339084354e-07    |    3.4520407366e+03    |    3.4521313859e+03    |
| 0.31429 |    3.7162054366e-07    |    3.6040585709e+03    |    3.6042280513e+03    |
| 0.32857 |    3.6978258932e-07    |    3.7530039270e+03    |    3.7532558752e+03    |
| 0.34286 |    3.6788039959e-07    |    3.8984563279e+03    |    3.8987945735e+03    |
